date,workerid,amount
Thu Feb 04 13:44:06 PST 2016,A3579N2TITA69M,1.1
Thu Feb 04 13:45:18 PST 2016,A2OG7XGWOX5ZEF,1.1
Thu Feb 04 13:48:39 PST 2016,A19TL7AJ0FB1JG,1.1
Thu Feb 04 13:51:17 PST 2016,A3HBMPB74FWI1,1.1
Thu Feb 04 13:58:28 PST 2016,AKLV0WIZZ356X,1.1
Thu Feb 04 13:58:29 PST 2016,A177EXELDLWTWV,1.1
Thu Feb 04 13:59:21 PST 2016,ARVXIBUCA8WDZ,1.1
Thu Feb 04 14:04:06 PST 2016,A3RUUTINBKU8YE,1.1
Thu Feb 04 14:08:10 PST 2016,ATHS9CW2FLYUY,1.1
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
