workerid,language,enjoyment,gender,age,comments,asses,education
0,english,1,Male,25,none,Yes,3
1,English,1,Male,28,it was interesting,Yes,3
2,English,1,Female,25,,Yes,1
3,english,2,Male,19,,Yes,2
4,english,2,Female,40,,Yes,2
5,english,2,Male,22,,Yes,2
6,English,2,Male,29,,Yes,1
7,English,2,Male,30,,No,3
8,English,2,Male,29,Interesting HIT!  Thank you!,Yes,2
