date,workerid,amount
Thu Feb 04 10:23:38 PST 2016,A2NA2OJT15COZY,1.0
Thu Feb 04 10:23:57 PST 2016,A2YO837C0O1E91,1.0
Thu Feb 04 10:24:10 PST 2016,A2O5OJXCUFQ3FV,1.0
Thu Feb 04 10:24:29 PST 2016,A1PLZ0172SZAO1,1.0
Thu Feb 04 10:24:48 PST 2016,A2YKW761AK4ZGY,1.0
Thu Feb 04 10:27:04 PST 2016,A3N0QZ9ZKUCTCQ,1.0
Thu Feb 04 10:28:33 PST 2016,A4J4GGMKJ68L0,1.0
Thu Feb 04 10:28:53 PST 2016,A36SM7QM8OK3H6,1.0
Thu Feb 04 11:02:48 PST 2016,A150MDVC0C92OT,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
