workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
5,M,35,4,English,1,1,ant,small,figurative,T,0.32
5,M,35,4,English,2,6,monkey,null,figurative,T,0.12
5,M,35,4,English,3,3,bird,null,figurative,T,0.37
5,M,35,4,English,4,8,giraffe,tall,literal,F,null
5,M,35,4,English,5,12,rabbit,cute,figurative,T,0.38
5,M,35,4,English,6,4,elephant,null,figurative,T,0.26
5,M,35,4,English,7,2,whale,null,figurative,T,0.32
5,M,35,4,English,8,10,turtle,null,figurative,T,0.22
5,M,35,4,English,9,5,panda,null,literal,F,null
5,M,35,4,English,10,9,cheetah,fast,literal,F,null
5,M,35,4,English,11,11,lion,fierce,figurative,T,0.69
5,M,35,4,English,12,7,penguin,cute,figurative,T,0.35
6,M,25,4,English,1,1,ant,null,figurative,T,0.26
6,M,25,4,English,2,6,monkey,smart,figurative,T,0.67
6,M,25,4,English,3,8,giraffe,null,literal,F,null
6,M,25,4,English,4,7,penguin,cute,figurative,T,0.13
6,M,25,4,English,5,9,cheetah,fast,figurative,T,0.82
6,M,25,4,English,6,2,whale,majestic,literal,F,null
6,M,25,4,English,7,10,turtle,null,figurative,T,0.64
6,M,25,4,English,8,3,bird,fast,figurative,T,0.5
6,M,25,4,English,9,12,rabbit,fast,literal,F,null
6,M,25,4,English,10,5,panda,null,figurative,T,0.36
6,M,25,4,English,11,4,elephant,big,figurative,T,0.75
6,M,25,4,English,12,11,lion,strong,figurative,T,0.75
7,F,25,4,English,1,1,ant,null,figurative,T,0.19
7,F,25,4,English,2,4,elephant,null,literal,F,null
7,F,25,4,English,3,6,monkey,null,figurative,T,0.24
7,F,25,4,English,4,12,rabbit,fast,literal,F,null
7,F,25,4,English,5,7,penguin,cute,figurative,T,0.05
7,F,25,4,English,6,8,giraffe,tall,figurative,T,0.92
7,F,25,4,English,7,3,bird,small,figurative,T,0.41
7,F,25,4,English,8,5,panda,null,figurative,T,0.32
7,F,25,4,English,9,10,turtle,null,figurative,T,0.54
7,F,25,4,English,10,9,cheetah,agile,literal,F,null
7,F,25,4,English,11,2,whale,null,figurative,T,0.04
7,F,25,4,English,12,11,lion,strong,figurative,T,1
8,M,35,4,English,1,8,giraffe,null,figurative,T,0.34
8,M,35,4,English,2,10,turtle,strong,figurative,T,0.8
8,M,35,4,English,3,9,cheetah,null,literal,F,null
8,M,35,4,English,4,3,bird,small,figurative,T,0.91
8,M,35,4,English,5,11,lion,strong,figurative,T,0.88
8,M,35,4,English,6,4,elephant,null,figurative,T,0.25
8,M,35,4,English,7,1,ant,null,figurative,T,0.78
8,M,35,4,English,8,12,rabbit,null,literal,F,null
