workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
38,F,35,8,english,7,5,panda,null,figurative,F,null
38,F,35,8,english,8,9,cheetah,agile,figurative,T,0.84
38,F,35,8,english,9,3,bird,small,literal,F,null
38,F,35,8,english,10,1,ant,null,figurative,F,null
38,F,35,8,english,11,8,giraffe,long,figurative,T,0.68
38,F,35,8,english,12,6,monkey,null,figurative,F,null
39,F,35,4,English,1,2,whale,big,figurative,T,0.71
39,F,35,4,English,2,7,penguin,cute,figurative,T,0.33
39,F,35,4,English,3,6,monkey,null,figurative,T,0.74
39,F,35,4,English,4,5,panda,big,figurative,T,0.75
39,F,35,4,English,5,12,rabbit,fast,figurative,T,0.7
39,F,35,4,English,6,8,giraffe,null,literal,F,null
39,F,35,4,English,7,4,elephant,big,literal,F,null
39,F,35,4,English,8,3,bird,null,figurative,T,0.13
39,F,35,4,English,9,11,lion,null,literal,F,null
39,F,35,4,English,10,9,cheetah,fast,figurative,T,0.88
39,F,35,4,English,11,1,ant,null,figurative,T,0.09
39,F,35,4,English,12,10,turtle,strong,figurative,T,0.31
