featureID,feature,animal,freq
16,quiet,mouse,21
16,quiet,cat,8
16,quiet,turtle,4
16,quiet,fish,2
16,quiet,hamster,2
16,quiet,lizard,2
16,quiet,snake,2
16,quiet,cheeta,1
16,quiet,deer,1
16,quiet,fly,1
16,quiet,owl,1
16,quiet,rabbit,1
16,quiet,sloth,1
16,quiet,snail,1
16,quiet,wolf,1
16,quiet,worm,1
17,busy,bee,14
17,busy,beaver,9
17,busy,ant,5
17,busy,bird,2
17,busy,cat,2
17,busy,horse,2
17,busy,mouse,2
17,busy,rabbit,2
17,busy,anteater,1
17,busy,bees,1
17,busy,camel,1
17,busy,cheetah,1
17,busy,chicken,1
17,busy,chipmunk,1
17,busy,hummingbird,1
17,busy,llama,1
17,busy,meerkat,1
17,busy,skunk,1
17,busy,snake,1
17,busy,squirrel,1
18,proud,lion,26
18,proud,cat,5
18,proud,peacock,4
18,proud,dog,3
18,proud,tiger,3
18,proud,horse,2
18,proud,bear,1
18,proud,deer,1
18,proud,duck,1
18,proud,eagle,1
18,proud,elephant,1
18,proud,meerkat,1
18,proud,wolf,1
19,sleek,cat,6
19,sleek,snake,5
19,sleek,eel,4
19,sleek,horse,3
19,sleek,cheetah,2
19,sleek,cougar,2
19,sleek,dolphin,2
19,sleek,fish,2
19,sleek,mongoose,2
19,sleek,otter,2
19,sleek,seal,2
19,sleek,bird,1
19,sleek,deer,1
19,sleek,elephant,1
19,sleek,ferrett,1
19,sleek,fox,1
19,sleek,gazelle,1
19,sleek,giraffe,1
19,sleek,leopard,1
19,sleek,lizard,1
19,sleek,mink,1
19,sleek,panther,1
19,sleek,porcupine,1
19,sleek,rabbit,1
19,sleek,rat,1
19,sleek,scorpion,1
19,sleek,stallion,1
19,sleek,tiger,1
19,sleek,turtle,1
20,lazy,cat,22
20,lazy,sloth,15
20,lazy,turtle,2
20,lazy,bassethounds,1
20,lazy,bear,1
20,lazy,cow,1
20,lazy,dog,1
20,lazy,koala,1
20,lazy,lion,1
20,lazy,orangatang,1
20,lazy,panda,1
20,lazy,pig,1
20,lazy,slothe,1
20,lazy,slug,1
21,loyal,dog,44
21,loyal,cat,3
21,loyal,ant,1
21,loyal,meerkat,1
21,loyal,wolf,1
22,friendly,dog,35
22,friendly,cat,5
22,friendly,horse,3
22,friendly,monkey,3
22,friendly,bird,1
22,friendly,elephant,1
22,friendly,kitten,1
22,friendly,panda,1
23,playful,dog,22
23,playful,cat,13
23,playful,kitten,2
23,playful,monkey,2
23,playful,puppy,2
23,playful,rabbit,2
23,playful,dolphin,1
23,playful,ferret,1
23,playful,iguana,1
23,playful,kid(goat),1
23,playful,otter,1
23,playful,parrot,1
23,playful,squirrel,1
24,loud,dog,14
24,loud,lion,9
24,loud,bird,6
24,loud,elephant,4
24,loud,monkey,3
24,loud,bear,2
24,loud,hyena,2
24,loud,ape,1
24,loud,cat,1
24,loud,chimpanzee,1
24,loud,crow,1
24,loud,falcon,1
24,loud,fox,1
24,loud,goat,1
24,loud,gorilla,1
24,loud,owl,1
24,loud,rooster,1
25,happy,dog,34
25,happy,bird,2
25,happy,puppy,2
25,happy,rabbit,2
25,happy,bunny,1
25,happy,dolphin,1
25,happy,ferret,1
25,happy,gerbil,1
25,happy,hyena,1
25,happy,monkey,1
25,happy,otter,1
25,happy,raccoon,1
25,happy,squirrel,1
25,happy,wombat,1
26,slithery,snake,45
26,slithery,sloth,2
26,slithery,cat,1
26,slithery,eel,1
26,slithery,snail,1
27,dumb,donkey,5
27,dumb,cow,4
27,dumb,bird,2
27,dumb,cat,2
27,dumb,dog,2
27,dumb,hippo,2
27,dumb,mouse,2
27,dumb,mule,2
27,dumb,pig,2
27,dumb,turtle,2
27,dumb,alligator,1
27,dumb,amoeba,1
27,dumb,ape,1
27,dumb,bear,1
27,dumb,chicken,1
27,dumb,deer,1
27,dumb,dodo,1
27,dumb,dodobird,1
27,dumb,fish,1
27,dumb,hyena,1
27,dumb,lemming,1
27,dumb,lizard,1
27,dumb,mosquito,1
27,dumb,ostrich,1
27,dumb,owl,1
27,dumb,ox,1
27,dumb,pigeon,1
27,dumb,platypus,1
27,dumb,rat,1
27,dumb,roach,1
27,dumb,sheep,1
27,dumb,sloth,1
27,dumb,toad,1
27,dumb,tortoise,1
27,dumb,turkey,1
28,hairy,bear,9
28,hairy,monkey,8
28,hairy,gorilla,7
28,hairy,cat,6
28,hairy,dog,5
28,hairy,ape,3
28,hairy,bears,1
28,hairy,beaver,1
28,hairy,buffalo,1
28,hairy,caterpillar,1
28,hairy,elephant,1
28,hairy,gerbil,1
28,hairy,horse,1
28,hairy,lion,1
28,hairy,mammoth,1
28,hairy,rat,1
28,hairy,sheep,1
28,hairy,sloth,1
29,striped,zebra,39
29,striped,tiger,8
29,striped,skunk,2
29,striped,cats,1
