date,workerid,amount
Tue Feb 09 10:28:35 PST 2016,ASF5V3K4IFP4K,0.5
Tue Feb 09 10:28:40 PST 2016,A2CEUCPDECS6U3,0.5
Tue Feb 09 10:30:31 PST 2016,A2LU259QPV1I4V,0.5
Tue Feb 09 10:31:23 PST 2016,A249TNDSY03Z7Y,0.5
Tue Feb 09 10:32:24 PST 2016,A26ENSYH8UVYC2,0.5
Tue Feb 09 10:35:34 PST 2016,A2O7H7VXLFN6BP,0.5
Tue Feb 09 10:43:21 PST 2016,AELOYBHVZFDW9,0.5
Tue Feb 09 11:05:11 PST 2016,A1WDUICI1FG9F,0.5
Tue Feb 09 11:32:50 PST 2016,A10LQ8RUWDUI5U,0.5
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
