date,workerid,amount
Fri Feb 05 10:58:31 PST 2016,A1D5BI42TYSR5P,1.0
Fri Feb 05 11:00:47 PST 2016,AAASQIW3J32OL,1.0
Fri Feb 05 11:01:18 PST 2016,A1P0NNR8HOQ95R,1.0
Fri Feb 05 11:06:28 PST 2016,A5EU1AQJNC7F2,1.0
Fri Feb 05 11:09:29 PST 2016,AMG9Y1YLBTKIV,1.0
Fri Feb 05 11:13:45 PST 2016,A3RAQZNM5V6A2M,1.0
Fri Feb 05 11:22:03 PST 2016,A25D66AC4QUW2U,1.0
Fri Feb 05 11:58:21 PST 2016,A2R0YYUAWNT7UD,1.0
Fri Feb 05 12:01:15 PST 2016,A3T90ZWPBV0MCI,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
