alternative,set1,set2,set3,set4
elephant,0.458478465483961,0.0939819393978838,0.377442416022131,0.0700971790960248
horse,0.230676054763102,0.175867565759503,0.438219062695609,0.155237316781786
man,0.165442995725128,0.320259079332357,0.339681065484749,0.174616859457766
sloth,0.369025586757815,0.503530032966757,0.0467855825660693,0.0806587977093587
snail,0.281854993955573,0.653203126178247,0.0305928071381419,0.0343490727280379
turtle,0.153493033829835,0.761173707904392,0.0388539268675141,0.0464793313982584
