alternative,set1,set2,set3,set4
elephant,0.436587213096207,0.403144766725713,0.086537316980355,0.0737307031977252
hippo,0.458390446619297,0.400155992319272,0.0631077869080071,0.0783457741534241
horse,0.404626472585852,0.29991454001742,0.141006898171359,0.154452089225369
lion,0.533917204677566,0.307470499106479,0.0945923293677273,0.0640199668482278
man,0.249978353202815,0.331296366568029,0.124263471269686,0.29446180895947
whale,0.626253691645385,0.230659577614353,0.0941946691068102,0.0488920616334516
