alternative,set1,set2,set3,set4
ant,0.510611056216626,0.0754384055012746,0.406593127800284,0.00735741048181513
bird,0.459325983701885,0.21006313750041,0.198678679352672,0.131932199445032
cheetah,0.243330064481046,0.556302062445297,0.105630252320027,0.0947376207536306
jaguar,0.208388407697394,0.547940722513684,0.0961555349000466,0.147515334888876
man,0.284411377270968,0.207385446502772,0.222920185671402,0.285282990554858
mouse,0.6572467192765,0.175035910915653,0.0972474365235061,0.0704699332843409
