alternative,set1,set2,set3,set4
cat,0.294593227529067,0.211560055875907,0.301996408326265,0.191850308268761
dog,0.228758413028003,0.312659925047491,0.268973437856725,0.189608224067782
dolphin,0.379588567175122,0.181224324304697,0.343144625756616,0.0960424827635656
hyena,0.22076449635957,0.266801827556675,0.259771859748099,0.252661816335656
man,0.252258170840235,0.235633093767269,0.305933492160476,0.20617524323202
monkey,0.328705758758391,0.266543650967026,0.188310554611836,0.216440035662748
