date,workerid,amount
Tue Jan 26 10:56:40 PST 2016,A2EW8H9R0T06M4,1.0
Tue Jan 26 10:57:42 PST 2016,A1RSJ45RXTREWN,1.0
Tue Jan 26 10:58:26 PST 2016,A1PLZ0172SZAO1,1.0
Tue Jan 26 10:58:46 PST 2016,A2BFIZGOU90XD9,1.0
Tue Jan 26 10:59:47 PST 2016,A3RIBFIB7C8D20,1.0
Tue Jan 26 11:02:04 PST 2016,A3LJ2FHESYV9QQ,1.0
Tue Jan 26 11:05:56 PST 2016,A2RYRS301XIZZD,1.0
Tue Jan 26 11:06:20 PST 2016,A1HTIP6ZI9TJU2,1.0
Tue Jan 26 11:43:53 PST 2016,ANV4TUKMWLA8E,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
