man,1,1,goal-f1,,0.08493923034165735
man,1,1,goal-f2,,0.08381060995356104
man,1,1,goal-all,,0.09791788339213986
man,1,0,goal-f1,,0.07668137461416892
man,1,0,goal-f2,,0.04730142615166731
man,1,0,goal-all,,0.041126675190269614
man,0,1,goal-f1,,0.05373819075424242
man,0,1,goal-f2,,0.08912421370619276
man,0,1,goal-all,,0.046926331917265245
man,0,0,goal-f1,,0.05548840830167561
man,0,0,goal-f2,,0.05753188496253853
man,0,0,goal-all,,0.25522835810275474
ant,1,1,goal-f1,,0.002595923598380752
ant,1,1,goal-f2,,0.002561430558035459
ant,1,1,goal-all,,0.002992578849357525
ant,1,0,goal-f1,,0.0003980027766121492
ant,1,0,goal-f2,,0.0002455107128791544
ant,1,0,goal-all,,0.00021346162612385908
ant,0,1,goal-f1,,0.0002474440069429613
ant,0,1,goal-f2,,0.00041038323482001603
ant,0,1,goal-all,,0.0002160779780221159
ant,0,0,goal-f1,,0.00004589759836956172
ant,0,0,goal-f2,,0.0000475878734004824
ant,0,0,goal-all,,0.00021111379892238078
