animalID,animal,featureID,feature,alternatives,numAlts
6,monkey,7,cute,hyena;dog;dolphin;monkey;cat;man,6
6,monkey,8,funny,hyena;dog;dolphin;monkey;cat;man,6
6,monkey,9,smart,hyena;dog;dolphin;monkey;cat;man,6
6,monkey,20,lazy,hyena;dog;dolphin;monkey;cat;man,6
6,monkey,21,loyal,hyena;dog;dolphin;monkey;cat;man,6
6,monkey,22,friendly,hyena;dog;dolphin;monkey;cat;man,6
6,monkey,24,loud,hyena;dog;dolphin;monkey;cat;man,6
6,monkey,25,happy,hyena;dog;dolphin;monkey;cat;man,6
7,penguin,7,cute,monkey;dog;cat;hyena;kitten;penguin;man,7
7,penguin,8,funny,monkey;dog;cat;hyena;kitten;penguin;man,7
7,penguin,9,smart,monkey;dog;cat;hyena;kitten;penguin;man,7
7,penguin,20,lazy,monkey;dog;cat;hyena;kitten;penguin;man,7
7,penguin,21,loyal,monkey;dog;cat;hyena;kitten;penguin;man,7
7,penguin,22,friendly,monkey;dog;cat;hyena;kitten;penguin;man,7
7,penguin,23,playful,monkey;dog;cat;hyena;kitten;penguin;man,7
7,penguin,24,loud,monkey;dog;cat;hyena;kitten;penguin;man,7
8,giraffe,5,fast,horse;giraffe;snake;man,4
8,giraffe,10,tall,horse;giraffe;snake;man,4
8,giraffe,11,long,horse;giraffe;snake;man,4
8,giraffe,14,strong,horse;giraffe;snake;man,4
8,giraffe,26,slithery,horse;giraffe;snake;man,4
9,cheetah,5,fast,cheetah;deer;jaguar;monkey;cat;man,6
9,cheetah,7,cute,cheetah;deer;jaguar;monkey;cat;man,6
9,cheetah,8,funny,cheetah;deer;jaguar;monkey;cat;man,6
9,cheetah,9,smart,cheetah;deer;jaguar;monkey;cat;man,6
9,cheetah,12,agile,cheetah;deer;jaguar;monkey;cat;man,6
9,cheetah,19,sleek,cheetah;deer;jaguar;monkey;cat;man,6
9,cheetah,20,lazy,cheetah;deer;jaguar;monkey;cat;man,6
9,cheetah,27,dumb,cheetah;deer;jaguar;monkey;cat;man,6
10,turtle,3,big,turtle;sloth;horse;bear;gorilla;elephant;man,7
10,turtle,5,fast,turtle;sloth;horse;bear;gorilla;elephant;man,7
10,turtle,6,hard,turtle;sloth;horse;bear;gorilla;elephant;man,7
10,turtle,13,slow,turtle;sloth;horse;bear;gorilla;elephant;man,7
10,turtle,14,strong,turtle;sloth;horse;bear;gorilla;elephant;man,7
10,turtle,20,lazy,turtle;sloth;horse;bear;gorilla;elephant;man,7
10,turtle,28,hairy,turtle;sloth;horse;bear;gorilla;elephant;man,7
11,lion,3,big,horse;bear;tiger;gorilla;lion;elephant;man,7
11,lion,5,fast,horse;bear;tiger;gorilla;lion;elephant;man,7
11,lion,6,hard,horse;bear;tiger;gorilla;lion;elephant;man,7
11,lion,14,strong,horse;bear;tiger;gorilla;lion;elephant;man,7
11,lion,15,fierce,horse;bear;tiger;gorilla;lion;elephant;man,7
11,lion,28,hairy,horse;bear;tiger;gorilla;lion;elephant;man,7
11,lion,29,striped,horse;bear;tiger;gorilla;lion;elephant;man,7
12,rabbit,5,fast,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
12,rabbit,7,cute,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
12,rabbit,12,agile,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
12,rabbit,19,sleek,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
12,rabbit,20,lazy,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
12,rabbit,21,loyal,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
12,rabbit,22,friendly,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
