utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.00023918739381908005
giraffe,high,fig,4,0.003907770338157099
giraffe,high,fig,5,0.030890243968236534
giraffe,high,fig,6,0.33895217554487306
giraffe,high,fig,7,0.13909296684846006
giraffe,high,fig,15,0.02525276566488464
giraffe,high,fig,0.5,0.001282756911936903
giraffe,high,fig,4.5,0.010444255943553795
giraffe,high,fig,5.5,0.1364868175501992
giraffe,high,fig,6.5,0.3134510598358796
tall,high,lit,0,0.007165832228057693
tall,high,lit,4,0.06182833799049447
tall,high,lit,5,0.26899831510269756
tall,high,lit,6,0.1283436546138597
tall,high,lit,7,0.016372392188362627
tall,high,lit,15,0.002060052756985838
tall,high,lit,0.5,0.025590361034330145
tall,high,lit,4.5,0.133982228487882
tall,high,lit,5.5,0.29690935466353324
tall,high,lit,6.5,0.058749470933796726
hamster,low,fig,0,0.1302210890143788
hamster,low,fig,4,0.3251864375634641
hamster,low,fig,5,0.04428546062051764
hamster,low,fig,6,0.004015622388216325
hamster,low,fig,7,0.0002660439546027611
hamster,low,fig,15,0.000018360596879837596
hamster,low,fig,0.5,0.2711231556465319
hamster,low,fig,4.5,0.20930287486670413
hamster,low,fig,5.5,0.014227453796930896
hamster,low,fig,6.5,0.001353501551773669
short,low,lit,0,0.016591823885037903
short,low,lit,4,0.11252439587429408
short,low,lit,5,0.29076150567118414
short,low,lit,6,0.07461483509964457
short,low,lit,7,0.007514589319399397
short,low,lit,15,0.000825467726682475
short,low,lit,0.5,0.05275548263994541
short,low,lit,4.5,0.2067417155770955
short,low,lit,5.5,0.20742175666794063
short,low,lit,6.5,0.03024842753877594
