utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.0000018673529174003358
giraffe,high,fig,4,0.000020044433772000896
giraffe,high,fig,5,0.0001600963309701382
giraffe,high,fig,6,0.053551380469188864
giraffe,high,fig,7,0.3613336382657131
giraffe,high,fig,15,0.04827575539119493
giraffe,high,fig,0.5,0.000007394898294023295
giraffe,high,fig,4.5,0.000050206224885691984
giraffe,high,fig,5.5,0.0011395134307193525
giraffe,high,fig,6.5,0.5354601032023445
tall,high,lit,0,0.003537319625393111
tall,high,lit,4,0.02032105418644568
tall,high,lit,5,0.09415799859870248
tall,high,lit,6,0.32848249862879597
tall,high,lit,7,0.07155961697530829
tall,high,lit,15,0.00625872553855198
tall,high,lit,0.5,0.009274430179463887
tall,high,lit,4.5,0.04209270927563964
tall,high,lit,5.5,0.2122961858739435
tall,high,lit,6.5,0.21201946111775552
hamster,low,fig,0,0.19511274542351373
hamster,low,fig,4,0.292264394312452
hamster,low,fig,5,0.02387666797897089
hamster,low,fig,6,0.000054861983904776014
hamster,low,fig,7,0.0000026703015409481684
hamster,low,fig,15,1.2010772202447555e-7
hamster,low,fig,0.5,0.2775370412604529
hamster,low,fig,4.5,0.21057403313054063
hamster,low,fig,5.5,0.0005639530585814488
hamster,low,fig,6.5,0.000013512442320740656
short,low,lit,0,0.043675811049099914
short,low,lit,4,0.13655126180543906
short,low,lit,5,0.26061409298890437
short,low,lit,6,0.07449335852031692
short,low,lit,7,0.008142706304047736
short,low,lit,15,0.0005383169131626371
short,low,lit,0.5,0.084876232403827
short,low,lit,4.5,0.19991141139548074
short,low,lit,5.5,0.15940331498749916
short,low,lit,6.5,0.031793493632222516
