utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.0000011214850305547222
giraffe,high,fig,10,0.00000851149865657217
giraffe,high,fig,100,0.000029132873404612365
giraffe,high,fig,120,0.00011123204480764286
giraffe,high,fig,140,0.0007925811364183771
giraffe,high,fig,160,0.0115702799318496
giraffe,high,fig,180,0.2063656796525626
giraffe,high,fig,200,0.4212178257463908
giraffe,high,fig,220,0.3406922966138079
giraffe,high,fig,10000,0.019211339017071272
tall,high,lit,0,0.0018932138013906732
tall,high,lit,10,0.010029395366386537
tall,high,lit,100,0.025728633221748655
tall,high,lit,120,0.05347469252133996
tall,high,lit,140,0.10613422719153463
tall,high,lit,160,0.21283365561902884
tall,high,lit,180,0.2729913597808595
tall,high,lit,200,0.20946103889398376
tall,high,lit,220,0.10330015651371675
tall,high,lit,10000,0.004153627090010784
hamster,low,fig,0,0.17042448933741275
hamster,low,fig,10,0.4331974298944052
hamster,low,fig,100,0.3681485162502436
hamster,low,fig,120,0.026747149420015378
hamster,low,fig,140,0.0012569744180151977
hamster,low,fig,160,0.00016586297441627504
hamster,low,fig,180,0.000040947585444983466
hamster,low,fig,200,0.00001447486159794045
hamster,low,fig,220,0.000004071737452238247
hamster,low,fig,10000,8.352099649173154e-8
short,low,lit,0,0.0367454781917632
short,low,lit,10,0.14406773777517942
short,low,lit,100,0.25264665029404076
short,low,lit,120,0.27573640356349954
short,low,lit,140,0.14651395227383227
short,low,lit,160,0.07659377870265324
short,low,lit,180,0.039543914223877895
short,low,lit,200,0.020539630843698004
short,low,lit,220,0.0073947825056406066
short,low,lit,10000,0.00021767162581493827
