utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.0000010673953137161185
giraffe,high,fig,4,0.000020638781729497837
giraffe,high,fig,5,0.0004368053427509176
giraffe,high,fig,6,0.3926554754083351
giraffe,high,fig,7,0.16909797131822712
giraffe,high,fig,15,0.030892738065921705
giraffe,high,fig,0.5,0.000006187745448465547
giraffe,high,fig,4.5,0.00006859846791958591
giraffe,high,fig,5.5,0.030297453466710967
giraffe,high,fig,6.5,0.37652306400764285
tall,high,lit,0,0.0037493184867302114
tall,high,lit,4,0.03638462767582859
tall,high,lit,5,0.21957185137054558
tall,high,lit,6,0.16184032769494214
tall,high,lit,7,0.022338170372907928
tall,high,lit,15,0.002952103643946377
tall,high,lit,0.5,0.014044030409871348
tall,high,lit,4.5,0.0886207437067509
tall,high,lit,5.5,0.37372391434116076
tall,high,lit,6.5,0.0767749122973162
hamster,low,fig,0,0.14399105428364603
hamster,low,fig,4,0.35327354986489784
hamster,low,fig,5,0.0017596631410350546
hamster,low,fig,6,0.000020855882508582328
hamster,low,fig,7,0.000001233727014331549
hamster,low,fig,15,8.569899238135548e-8
hamster,low,fig,0.5,0.29822921158027965
hamster,low,fig,4.5,0.20261559687044312
hamster,low,fig,5.5,0.00010234855934232305
hamster,low,fig,6.5,0.000006400391840607725
short,low,lit,0,0.023229202834140535
short,low,lit,4,0.14477115815762726
short,low,lit,5,0.2730740988229921
short,low,lit,6,0.05009818854109722
short,low,lit,7,0.004547833403389665
short,low,lit,15,0.0004748078314134266
short,low,lit,0.5,0.07059081286834369
short,low,lit,4.5,0.2606238555738289
short,low,lit,5.5,0.1534601908596873
short,low,lit,6.5,0.01912985110747998
