date,workerid,amount
Tue Jan 26 09:33:11 PST 2016,AKLV0WIZZ356X,1.0
Tue Jan 26 09:34:26 PST 2016,A2YYQJ3JWA2KGD,1.0
Tue Jan 26 09:35:51 PST 2016,A3MJ47AD05HGC,1.0
Tue Jan 26 09:40:08 PST 2016,A3BI0AX5T5GVO3,1.0
Tue Jan 26 09:41:55 PST 2016,ANAP6CHXLL226,1.0
Tue Jan 26 09:41:58 PST 2016,A3W6T1WDYXMR3,1.0
Tue Jan 26 09:53:11 PST 2016,A2C73Y1COWCA51,1.0
Tue Jan 26 09:58:23 PST 2016,A2YO837C0O1E91,1.0
Tue Jan 26 10:43:13 PST 2016,A3KVH7IYW9XEJX,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
