categoryID,animal,alternative,featureNum,normalizedProb.1,normalizedProb.2,normalizedProb.3,normalizedProb.4,normalizedProb.5,normalizedProb.6,normalizedProb.7,normalizedProb.8
1,ant,person,0,0.126508885,0.1203603,0.115839545,0.116567996,0.133289063,0.134288324,0.125149977,0.12799591
1,ant,target,0,0.301160864,0.125592052,0.145558033,0.121870539,0.095196163,0.06916195,0.077731511,0.063728888
1,ant,hamster,1,0.360833006,0.111300326,0.179730724,0.099013331,0.104751947,0.033586303,0.076432942,0.034351421
1,ant,mouse,1,0.262449143,0.126952604,0.167550576,0.119925808,0.116303977,0.057677403,0.100102438,0.049038051
1,ant,gorilla,2,0.313272774,0.11934554,0.138115339,0.06003917,0.145566689,0.075083662,0.10487096,0.043705866
1,ant,ox,2,0.364997734,0.148849518,0.161230245,0.09645294,0.08680847,0.04957801,0.059332106,0.032750977
1,ant,beaver,3,0.312933928,0.098246781,0.132829636,0.08113387,0.174286778,0.063673589,0.098607695,0.038287724
1,ant,bee,3,0.355756739,0.120906197,0.095603624,0.06524668,0.13486919,0.099094719,0.080362807,0.048160045
2,bat,person,0,0.083753318,0.112986245,0.119248364,0.146386289,0.105936477,0.133837752,0.121904194,0.175947361
2,bat,target,0,0.234440873,0.079711195,0.137772566,0.072405522,0.202368505,0.079163718,0.122984582,0.071153038
2,bat,bear,1,0.261700796,0.08703971,0.15826804,0.068907942,0.224201429,0.083216137,0.088595624,0.028070322
2,bat,snake,1,0.271063225,0.081879282,0.119893303,0.054660968,0.231422348,0.075807408,0.115284691,0.049988775
2,bat,mole,2,0.235424812,0.096980519,0.126334031,0.074239449,0.211493141,0.075811175,0.124847257,0.054869615
2,bat,mouse,2,0.236488133,0.089000783,0.134101336,0.05385425,0.23387511,0.077976372,0.113507847,0.061196168
2,bat,owl,3,0.219755294,0.082743101,0.088311703,0.057494515,0.278313681,0.14014961,0.090477875,0.042754222
2,bat,snake,3,0.16641574,0.074488091,0.090631647,0.085722119,0.284330156,0.138419144,0.126281961,0.033711143
3,bear,person,0,0.127427156,0.13428116,0.116944428,0.115093771,0.1200598,0.133081086,0.117528718,0.135583879
3,bear,target,0,0.215319,0.136874392,0.136865177,0.110954408,0.119635571,0.104242002,0.086645358,0.089464093
3,bear,shark,1,0.299789383,0.161786714,0.131192356,0.083637407,0.129674119,0.085519603,0.068080773,0.040319646
