altAnimal,freq,feature
zebra,2,pretty
duck,68,quacking
donkey,1,quacking
mouse,25,quiet
cat,4,quiet
fish,4,quiet
sloth,4,quiet
snake,4,quiet
giraffe,2,quiet
rabbit,2,quiet
ant,1,quiet
bat,1,quiet
bear,1,quiet
fish,20,scaly
lizard,20,scaly
snake,16,scaly
aligator,1,scaly
alligator,1,scaly
alligator ,1,scaly
cat,1,scaly
crocodile,1,scaly
duck,1,scaly
elephant,1,scaly
snake,11,scary
bear,6,scary
shark,5,scary
tiger,5,scary
bat,4,scary
hyena,3,scary
lion,3,scary
spider,3,scary
alligator,1,scary
ape,1,scary
frog,10,slimy
slug,10,slimy
snake,10,slimy
snail,8,slimy
eel,7,slimy
fish,5,slimy
worm,5,slimy
salamander,3,slimy
toad,3,slimy
bee,1,slimy
turtle,21,slow
sloth,15,slow
snail,6,slow
elephant,2,slow
donkey,1,slow
mule,1,slow
panda,1,slow
slow loris,1,slow
slug,1,slow
whale,1,slow
fox,42,sly
snake,9,sly
cat,3,sly
coyote,3,sly
aligator,1,sly
alligator,1,sly
ferret,1,sly
goat,1,sly
opossum,1,sly
racoon,1,sly
mouse,22,small
hamster,4,small
snail,4,small
rat,3,small
bird,2,small
mice,2,small
ant,1,small
beluga whale,1,small
cat,1,small
chipmunk,1,small
dolphin,11,smart
cat,5,smart
dog,5,smart
monkey,4,smart
owl,4,smart
gorilla,3,smart
parrot,3,smart
elephant,2,smart
fox,2,smart
rat,2,smart
skunk,24,smelly
pig,8,smelly
baboon,3,smelly
fish,2,smelly
rat,2,smelly
bear,1,smelly
beaver,1,smelly
cat,1,smelly
cockroach,1,smelly
dog,1,smelly
cat,14,soft
kitten,11,soft
rabbit,11,soft
bunny,8,soft
koala,3,soft
bear,2,soft
dog,2,soft
lamb,2,soft
puppy,2,soft
ant,1,soft
zebra,42,striped
tiger,7,striped
bass,1,striped
cat,1,striped
moose,1,striped
zebras,1,striped
ox,13,strong
gorilla,9,strong
lion,9,strong
bear,5,strong
elephant,5,strong
horse,3,strong
ape,2,strong
orangutan,2,strong
rhino,2,strong
ant,1,strong
fish,14,wet
seal,13,wet
dolphin,5,wet
dog,4,wet
duck,3,wet
beaver,2,wet
hippo,2,wet
whale,2,wet
aligator,1,wet
alligator,1,wet
lion,14,wild
boar,8,wild
tiger,8,wild
wolf,5,wild
bear,2,wild
buffalo,2,wild
hyena,2,wild
leopard,2,wild
bobcat,1,wild
bug,1,wild
owl,38,wise
elephant,5,wise
dolphin,2,wise
lion,2,wise
raven,2,wise
baboon,1,wise
cat,1,wise
dog,1,wise
fox,1,wise
golfish,1,wise
sheep,20,wooly
mammoth,17,wooly
lamb,9,wooly
bear,1,wooly
cat,1,wooly
fish,1,wooly
goat,1,wooly
llama,1,wooly
mamouth,1,wooly
racoon,1,wooly
