altAnimal,freq,feature
bull,2,angry
lion,2,angry
tiger,2,angry
ape,1,angry
baboon,1,angry
badger,1,angry
bear,1,angry
beaver,1,angry
bird,1,angry
gopher,1,angry
dog,6,annoying
cat,5,annoying
bird,4,annoying
rooster,3,annoying
chimpanzee,2,annoying
crow,2,annoying
gnat,2,annoying
monkey,2,annoying
parrot,2,annoying
rat,2,annoying
peacock,13,beautiful
horse,7,beautiful
lion,4,beautiful
tiger,4,beautiful
bird,3,beautiful
flamingo,3,beautiful
cat,2,beautiful
parrot,2,beautiful
swan,2,beautiful
zebra,2,beautiful
elephant,24,big
bear,5,big
whale,4,big
giraffe,3,big
bears,2,big
buffalo,2,big
horse,2,big
dinosaur,1,big
dog,1,big
elephnant,1,big
bat,41,blind
mole,5,blind
mouse,4,blind
mice,2,blind
shark,2,blind
anteater,1,blind
bacteria,1,blind
bird,1,blind
man,1,blind
naked mole rat,1,blind
kangaroo,23,bouncy
rabbit,10,bouncy
frog,4,bouncy
antelope,1,bouncy
bunny,1,bouncy
car,1,bouncy
cat,1,bouncy
cats,1,bouncy
cheeta,1,bouncy
emu,1,bouncy
bee,31,busy
beaver,13,busy
ant,4,busy
squirrel,4,busy
ants,1,busy
cat,1,busy
crow,1,busy
dog,1,busy
elephant,1,busy
goffer,1,busy
polar bear,19,cold
penguin,14,cold
snake,8,cold
bear,5,cold
fish,5,cold
cat,2,cold
penquin,2,cold
seal,2,cold
alligator,1,cold
bat,1,cold
puppy,11,cute
kitten,7,cute
panda,6,cute
koala,5,cute
rabbit,4,cute
cat,3,cute
deer,2,cute
panda bear,2,cute
bunny,1,cute
chicken,1,cute
lion,14,dangerous
bear,9,dangerous
tiger,6,dangerous
shark,4,dangerous
snake,4,dangerous
cobra,3,dangerous
crocodile,3,dangerous
rhino,3,dangerous
whale,2,dangerous
wolf,2,dangerous
pig,29,dirty
rat,5,dirty
dog,2,dirty
hog,2,dirty
aligator,1,dirty
buzzard,1,dirty
cockroach,1,dirty
crocodile,1,dirty
hippo,1,dirty
hippopatamus,1,dirty
dog,14,dumb
ox,7,dumb
chicken,3,dumb
sloth,3,dumb
bird,2,dumb
deer,2,dumb
donkey,2,dumb
fish,2,dumb
goose,2,dumb
turkey,2,dumb
bird,6,exotic
peacock,6,exotic
flamingo,5,exotic
leopard,5,exotic
parrot,5,exotic
snake,4,exotic
lemur,2,exotic
birds,1,exotic
cassawary,1,exotic
cheeta,1,exotic
cheetah,32,fast
gazelle,3,fast
tiger,3,fast
cat,2,fast
cheeta,2,fast
jaguar,2,fast
leopard,2,fast
antelope,1,fast
car,1,fast
cheetah ,1,fast
pig,19,fat
hippo,11,fat
cat,9,fat
elephant,7,fat
cow,4,fat
bear,2,fat
pigs,2,fat
walrus,2,fat
aligator,1,fat
hippopotamus,1,fat
lion,30,ferocious
tiger,20,ferocious
bear,4,ferocious
beast,1,ferocious
bull,1,ferocious
cat,1,ferocious
cougar,1,ferocious
female lion,1,ferocious
hippopotamus,1,ferocious
jaguar,1,ferocious
tiger,21,fierce
lion,16,fierce
wolf,2,fierce
wolverine,2,fierce
bear,1,fierce
bears,1,fierce
cat,1,fierce
cougar,1,fierce
crocodile,1,fierce
gorilla,1,fierce
cat,15,fluffy
rabbit,14,fluffy
bunny,7,fluffy
puppy,6,fluffy
dog,4,fluffy
chick,3,fluffy
kitten,3,fluffy
duck,2,fluffy
koala,2,fluffy
lamb,2,fluffy
bird,23,free
eagle,10,free
horse,6,free
birds,2,free
lion,2,free
bear,1,free
bison,1,free
bluebird,1,free
deer,1,free
dog,1,free
dog,40,friendly
cat,8,friendly
dolphin,3,friendly
ferret,2,friendly
horse,2,friendly
rabbit,2,friendly
giraffe,1,friendly
hamster,1,friendly
kitten,1,friendly
monkey,1,friendly
monkey,13,funny
hyena,5,funny
parrot,4,funny
dog,3,funny
chimp,2,funny
chimpanzee,2,funny
duck,2,funny
kangaroo,2,funny
bunny,1,funny
cat,1,funny
bear,14,furry
cat,11,furry
dog,9,furry
rabbit,9,furry
kitten,5,furry
squirrel,4,furry
bunny,3,furry
hamster,2,furry
cats,1,furry
chinchilla,1,furry
swan,20,graceful
gazelle,10,graceful
bird,3,graceful
cheetah,3,graceful
deer,3,graceful
dolphin,2,graceful
horse,2,graceful
bobcat,1,graceful
cat,1,graceful
dove,1,graceful
dog,16,happy
cat,4,happy
dolphin,3,happy
puppy,3,happy
bird,2,happy
clam,2,happy
parrot,2,happy
bar,1,happy
bunny,1,happy
canary,1,happy
elephant,17,heavy
hippo,8,heavy
rhino,6,heavy
whale,4,heavy
bear,2,heavy
gorilla,2,heavy
boar,1,heavy
buffalo,1,heavy
elphant ,1,heavy
graffias ,1,heavy
elephant,26,huge
whale,8,huge
giraffe,5,huge
hippo,5,huge
bear,1,huge
cows,1,huge
elepahant,1,huge
elephant ,1,huge
elephent,1,huge
hamster,1,huge
hippo,13,hungry
lion,12,hungry
bear,6,hungry
wolf,6,hungry
dog,4,hungry
alligator,2,hungry
pig,2,hungry
cat,1,hungry
crocodile,1,hungry
crow,1,hungry
cat,22,independent
eagle,3,independent
cheetah,2,independent
fox,2,independent
hippo,2,independent
horse,2,independent
leopard,2,independent
lion,2,independent
bald eagle,1,independent
bear,1,independent
kangaroo,29,jumpy
frog,10,jumpy
rabbit,8,jumpy
monkey,3,jumpy
cat,2,jumpy
dog,2,jumpy
bunny,1,jumpy
car,1,jumpy
cricket,1,jumpy
figs,1,jumpy
elephant,27,large
hippo,3,large
whale,3,large
tiger,2,large
bear,1,large
camel,1,large
dinosaur,1,large
elephant ,1,large
elephw,1,large
giraffe,1,large
sloth,25,lazy
cat,14,lazy
dog,5,lazy
monkey,2,lazy
pig,2,lazy
turtle,2,lazy
bears,1,lazy
buffalo,1,lazy
donkey,1,lazy
gorilla,1,lazy
dog,8,loud
elephant,6,loud
lion,5,loud
hyena,4,loud
rooster,4,loud
bear,3,loud
monkey,3,loud
parrot,3,loud
crow,2,loud
geese,2,loud
dog,50,loyal
cat,1,loyal
eagle,1,loyal
elephant,1,loyal
giraffe,1,loyal
peacock,1,loyal
penguin,1,loyal
swan,1,loyal
wolf,1,loyal
lion,15,majestic
horse,9,majestic
eagle,8,majestic
giraffe,4,majestic
tiger,4,majestic
dolphin,3,majestic
peacock,3,majestic
dragon,2,majestic
swan,2,majestic
bird,1,majestic
cat,4,mean
lion,4,mean
badger,3,mean
coyote,3,mean
dog,3,mean
hyena,3,mean
rhino,3,mean
snake,3,mean
bear,2,mean
rat,2,mean
owl,21,nocturnal
bat,16,nocturnal
snake,2,nocturnal
wolf,2,nocturnal
armadillo,1,nocturnal
bats,1,nocturnal
bird,1,nocturnal
cat,1,nocturnal
cow,1,nocturnal
dinosaur,1,nocturnal
bird,6,noisy
dog,6,noisy
monkey,6,noisy
parrot,6,noisy
crow,3,noisy
birds,2,noisy
chimpanzee,2,noisy
elephant,2,noisy
baboon,1,noisy
bear,1,noisy
dog,15,playful
kitten,9,playful
puppy,9,playful
cat,5,playful
otter,3,playful
dolphin,2,playful
bunny,1,playful
chimpanzee,1,playful
ferret,1,playful
frog,1,playful
peacock,11,pretty
cat,4,pretty
bird,3,pretty
butterfly,2,pretty
deer,2,pretty
dog,2,pretty
flamingo,2,pretty
gazelle,2,pretty
kitten,2,pretty
