adjective,freq
fast,50
slow,43
tall,39
cute,33
big,30
small,23
large,21
tiny,18
huge,16
funny,15
fierce,9
strong,9
furry,8
quick,8
agile,6
enormous,6
adorable,5
blue,5
fat,5
loud,5
silly,5
smart,5
beautiful,4
cold,4
cuddly,4
ferocious,4
fuzzy,4
gigantic,4
hard,4
lazy,4
long,4
majestic,4
speedy,4
swift,4
annoying,3
black,3
free,3
giant,3
grey,3
pretty,3
busy,2
common,2
crazy,2
curious,2
dangerous,2
feathery,2
fluffy,2
flying,2
heavy,2
hungry,2
industrious,2
inquisitive,2
intelligent,2
king,2
mean,2
powerful,2
rare,2
roar,2
round,2
sleek,2
sleepy,2
soft,2
stupid,2
waddle,2
active,1
aggressive,1
angry,1
ape,1
asshole,1
avian,1
awkward,1
baby,1
bamboo,1
banana,1
benign,1
bite,1
blazing,1
boxy,1
brave,1
brown,1
cheetos,1
chirp,1
clumsy,1
colorful,1
crawling,1
creepy,1
cruel,1
cuddle,1
darling,1
diligent,1
docile,1
elegant,1
engineered,1
fastest,1
fearce,1
fearsome,1
feathered,1
feisty,1
feline,1
fire,1
flight,1
flighty,1
focused,1
forgien,1
formal,1
fun,1
furious,1
goofy,1
graceful,1
grand,1
gray,1
hairy,1
happy,1
hop,1
hoppy,1
horny,1
humungous,1
immense,1
interesting,1
intimidating,1
jumper,1
jumpy,1
killer,1
lame,1
lanky,1
light,1
lightweight,1
likeable,1
little,1
littlefeet,1
loveable,1
loyal,1
magestic,1
mammal,1
massive,1
mechanical,1
mighty,1
migthy,1
mischievous,1
nimble,1
noisy,1
ocean,1
patient,1
playful,1
powerhouse,1
predator,1
primal,1
protected,1
proud,1
puny,1
quickest,1
quiet,1
racy,1
regal,1
reserved,1
royalty,1
runner,1
sad,1
scary,1
sharp-sighted,1
shell,1
shelled,1
short,1
slick,1
slippery,1
smelly,1
spider,1
spots,1
spotted,1
spotty,1
sweet,1
timid,1
tricky,1
triumphant,1
trunk,1
unbalanced,1
unflighted,1
unique,1
useless,1
waddler,1
waddles,1
wee,1
white,1
wild,1
wobbly,1
yellow,1
