category,fierce,strong,prob
man,0,0,0.0030311016296229645
man,0,1,0.011225368751701444
man,0,2,0.005892611039096324
man,0,3,0.024292504592005347
man,0,4,0.016812846461193506
man,0,5,0.014464204267674549
man,1,0,0.002211884972968112
man,1,1,0.013725029832263709
man,1,2,0.00494763743953393
man,1,3,0.033325733592719516
man,1,4,0.022884502220323854
man,1,5,0.02013979475386754
man,2,0,0.006062203259245949
man,2,1,0.022450737503402915
man,2,2,0.011785222078192685
man,2,3,0.04858500918401073
man,2,4,0.033625692922387034
man,2,5,0.028928408535349108
man,3,0,0.008183974399982067
man,3,1,0.02168781573494896
man,3,2,0.014901119817890508
man,3,3,0.04128851949540477
man,3,4,0.02885659164733781
man,3,5,0.02412118770521017
man,4,0,0.01372502983226363
man,4,1,0.03266783960075978
man,4,2,0.0245565996998888
man,4,3,0.0588021112813676
man,4,4,0.04128851949540471
man,4,5,0.03403695958402756
man,5,0,0.03125822059899971
man,5,1,0.05245347733363905
man,5,2,0.0533581968162532
man,5,3,0.07205418109409487
man,5,4,0.05193083784635545
man,5,5,0.03950401850455525
lion,0,0,0.000039857510736238
lion,0,1,0.00014678427430039667
lion,0,2,0.00008141355680525306
lion,0,3,0.0003925620019364294
lion,0,4,0.0002522364054471095
lion,0,5,0.00035640207196308216
lion,1,0,0.00003723712075703898
lion,1,1,0.0001389231043627996
lion,1,2,0.00007617277684685502
lion,1,3,0.0003768396620612353
lion,1,4,0.00024175484553031352
lion,1,5,0.0003433001220670871
lion,2,0,0.00007971502147247616
lion,2,1,0.000293568548600794
lion,2,2,0.00016282711361050646
lion,2,3,0.0007851240038728605
lion,2,4,0.0005044728108942201
lion,2,5,0.0007128041439261658
lion,3,0,0.00008787960498661227
lion,3,1,0.00031806229914320227
lion,3,2,0.00017915628063877863
lion,3,3,0.0008341115049576771
lion,3,4,0.0005371311449507644
lion,3,5,0.0007536270614968462
lion,4,0,0.00013892310436279895
lion,4,1,0.000498404539363445
lion,4,2,0.0002829418147239296
lion,4,3,0.0012937894387337957
lion,4,4,0.0008341115049576681
lion,4,5,0.0011659590766596708
lion,5,0,0.0006983682404102501
lion,5,1,0.0023672221421475784
lion,5,2,0.0014137218341482725
lion,5,3,0.005724378817651512
lion,5,4,0.003721536586662578
lion,5,5,0.005062986384870173
