category,hairy,lazy,slow,big,hard,fast,strong,prob
turtle,0,0,0,0,0,0,0,0.00000136794826448968
turtle,0,0,0,0,0,0,1,6.9718731122609e-8
turtle,0,0,0,0,0,0,2,1.3953231396606713e-7
turtle,0,0,0,0,0,1,0,0.00000136794826448968
turtle,0,0,0,0,0,1,1,6.9718731122609e-8
turtle,0,0,0,0,0,1,2,1.3953231396606713e-7
turtle,0,0,0,0,0,2,0,0.00000136794826448968
turtle,0,0,0,0,0,2,1,6.9718731122609e-8
turtle,0,0,0,0,0,2,2,1.3953231396606713e-7
turtle,0,0,0,0,1,0,0,0.00000136794826448968
turtle,0,0,0,0,1,0,1,6.9718731122609e-8
turtle,0,0,0,0,1,0,2,1.3953231396606713e-7
turtle,0,0,0,0,1,1,0,0.00000136794826448968
turtle,0,0,0,0,1,1,1,6.9718731122609e-8
turtle,0,0,0,0,1,1,2,1.3953231396606713e-7
turtle,0,0,0,0,1,2,0,0.00000136794826448968
turtle,0,0,0,0,1,2,1,6.9718731122609e-8
turtle,0,0,0,0,1,2,2,1.3953231396606713e-7
turtle,0,0,0,0,2,0,0,0.00000136794826448968
turtle,0,0,0,0,2,0,1,6.9718731122609e-8
turtle,0,0,0,0,2,0,2,1.3953231396606713e-7
turtle,0,0,0,0,2,1,0,0.00000136794826448968
turtle,0,0,0,0,2,1,1,6.9718731122609e-8
turtle,0,0,0,0,2,1,2,1.3953231396606713e-7
turtle,0,0,0,0,2,2,0,0.00000136794826448968
turtle,0,0,0,0,2,2,1,6.9718731122609e-8
turtle,0,0,0,0,2,2,2,1.3953231396606713e-7
turtle,0,0,0,1,0,0,0,0.00000136794826448968
turtle,0,0,0,1,0,0,1,6.9718731122609e-8
turtle,0,0,0,1,0,0,2,1.3953231396606713e-7
turtle,0,0,0,1,0,1,0,0.00000136794826448968
turtle,0,0,0,1,0,1,1,6.9718731122609e-8
turtle,0,0,0,1,0,1,2,1.3953231396606713e-7
turtle,0,0,0,1,0,2,0,0.00000136794826448968
turtle,0,0,0,1,0,2,1,6.9718731122609e-8
turtle,0,0,0,1,0,2,2,1.3953231396606713e-7
turtle,0,0,0,1,1,0,0,0.00000136794826448968
turtle,0,0,0,1,1,0,1,6.9718731122609e-8
turtle,0,0,0,1,1,0,2,1.3953231396606713e-7
turtle,0,0,0,1,1,1,0,0.00000136794826448968
turtle,0,0,0,1,1,1,1,6.9718731122609e-8
turtle,0,0,0,1,1,1,2,1.3953231396606713e-7
turtle,0,0,0,1,1,2,0,0.00000136794826448968
turtle,0,0,0,1,1,2,1,6.9718731122609e-8
turtle,0,0,0,1,1,2,2,1.3953231396606713e-7
turtle,0,0,0,1,2,0,0,0.00000136794826448968
turtle,0,0,0,1,2,0,1,6.9718731122609e-8
turtle,0,0,0,1,2,0,2,1.3953231396606713e-7
turtle,0,0,0,1,2,1,0,0.00000136794826448968
turtle,0,0,0,1,2,1,1,6.9718731122609e-8
turtle,0,0,0,1,2,1,2,1.3953231396606713e-7
turtle,0,0,0,1,2,2,0,0.00000136794826448968
turtle,0,0,0,1,2,2,1,6.9718731122609e-8
turtle,0,0,0,1,2,2,2,1.3953231396606713e-7
turtle,0,0,0,2,0,0,0,0.00000136794826448968
turtle,0,0,0,2,0,0,1,6.9718731122609e-8
turtle,0,0,0,2,0,0,2,1.3953231396606713e-7
turtle,0,0,0,2,0,1,0,0.00000136794826448968
turtle,0,0,0,2,0,1,1,6.9718731122609e-8
turtle,0,0,0,2,0,1,2,1.3953231396606713e-7
turtle,0,0,0,2,0,2,0,0.00000136794826448968
turtle,0,0,0,2,0,2,1,6.9718731122609e-8
turtle,0,0,0,2,0,2,2,1.3953231396606713e-7
turtle,0,0,0,2,1,0,0,0.00000136794826448968
turtle,0,0,0,2,1,0,1,6.9718731122609e-8
turtle,0,0,0,2,1,0,2,1.3953231396606713e-7
turtle,0,0,0,2,1,1,0,0.00000136794826448968
turtle,0,0,0,2,1,1,1,6.9718731122609e-8
turtle,0,0,0,2,1,1,2,1.3953231396606713e-7
turtle,0,0,0,2,1,2,0,0.00000136794826448968
turtle,0,0,0,2,1,2,1,6.9718731122609e-8
turtle,0,0,0,2,1,2,2,1.3953231396606713e-7
turtle,0,0,0,2,2,0,0,0.00000136794826448968
turtle,0,0,0,2,2,0,1,6.9718731122609e-8
turtle,0,0,0,2,2,0,2,1.3953231396606713e-7
turtle,0,0,0,2,2,1,0,0.00000136794826448968
turtle,0,0,0,2,2,1,1,6.9718731122609e-8
turtle,0,0,0,2,2,1,2,1.3953231396606713e-7
turtle,0,0,0,2,2,2,0,0.00000136794826448968
turtle,0,0,0,2,2,2,1,6.9718731122609e-8
turtle,0,0,0,2,2,2,2,1.3953231396606713e-7
turtle,0,0,1,0,0,0,0,6.832545361543867e-7
turtle,0,0,1,0,0,0,1,3.481139248860764e-8
turtle,0,0,1,0,0,0,2,6.967021083763982e-8
turtle,0,0,1,0,0,1,0,6.832545361543867e-7
turtle,0,0,1,0,0,1,1,3.481139248860764e-8
turtle,0,0,1,0,0,1,2,6.967021083763982e-8
turtle,0,0,1,0,0,2,0,6.832545361543867e-7
turtle,0,0,1,0,0,2,1,3.481139248860764e-8
turtle,0,0,1,0,0,2,2,6.967021083763982e-8
turtle,0,0,1,0,1,0,0,6.832545361543867e-7
turtle,0,0,1,0,1,0,1,3.481139248860764e-8
turtle,0,0,1,0,1,0,2,6.967021083763982e-8
turtle,0,0,1,0,1,1,0,6.832545361543867e-7
turtle,0,0,1,0,1,1,1,3.481139248860764e-8
turtle,0,0,1,0,1,1,2,6.967021083763982e-8
turtle,0,0,1,0,1,2,0,6.832545361543867e-7
turtle,0,0,1,0,1,2,1,3.481139248860764e-8
turtle,0,0,1,0,1,2,2,6.967021083763982e-8
turtle,0,0,1,0,2,0,0,6.832545361543867e-7
turtle,0,0,1,0,2,0,1,3.481139248860764e-8
turtle,0,0,1,0,2,0,2,6.967021083763982e-8
turtle,0,0,1,0,2,1,0,6.832545361543867e-7
turtle,0,0,1,0,2,1,1,3.481139248860764e-8
turtle,0,0,1,0,2,1,2,6.967021083763982e-8
turtle,0,0,1,0,2,2,0,6.832545361543867e-7
turtle,0,0,1,0,2,2,1,3.481139248860764e-8
turtle,0,0,1,0,2,2,2,6.967021083763982e-8
turtle,0,0,1,1,0,0,0,6.832545361543867e-7
turtle,0,0,1,1,0,0,1,3.481139248860764e-8
turtle,0,0,1,1,0,0,2,6.967021083763982e-8
turtle,0,0,1,1,0,1,0,6.832545361543867e-7
