category,fast,agile,prob
man,0,0,0.004266270304110706
man,0,1,0.04792210512092878
man,0,2,0.13323594236958058
man,1,0,0.008452347557392256
man,1,1,0.054626454512674
man,1,2,0.11755944837993935
man,2,0,0.08657207532390378
man,2,1,0.2889856378122086
man,2,2,0.2217190854019547
cheetah,0,0,0.00006176754985749511
cheetah,0,1,0.00034168781869319676
cheetah,0,2,0.0011544919209827778
cheetah,1,0,0.00013013055062942352
cheetah,1,1,0.0007163528919585586
cheetah,1,2,0.0023749383511098877
cheetah,2,0,0.0015297249837812532
cheetah,2,1,0.008075675821180626
cheetah,2,2,0.02227586332911427
