category,cute,big,prob
man,0,0,0.02131515213542415
man,0,1,0.12242122943604138
man,0,2,0.019412013551904122
man,1,0,0.07932027115769867
man,1,1,0.27775345961327114
man,1,2,0.03860770181348875
man,2,0,0.09388817012032062
man,2,1,0.2857105199020583
man,2,2,0.03755526804812822
panda,0,0,0.00009697249348126686
panda,0,1,0.0006241481709815987
panda,0,2,0.00014439076121880266
panda,1,0,0.000903744624932797
panda,1,1,0.005493723049690837
panda,1,2,0.0012356724990955472
panda,2,0,0.0018967307095014297
panda,2,1,0.011155081990410326
panda,2,2,0.0024657499223518595
