category,fierce,strong,prob
horse,0,0,0.00010635179567576369
horse,0,1,0.0002855436878375092
horse,0,2,0.00020248161500570873
horse,1,0,0.00005516569303300861
horse,1,1,0.000147813569070619
horse,1,2,0.00011211174135420556
horse,2,0,0.000026712031283461953
horse,2,1,0.00007140834700154746
horse,2,2,0.00005817602073070755
bear,0,0,0.0000032227816871443497
bear,0,1,0.00001622407317258579
bear,0,2,0.000031555576364526064
bear,1,0,0.000013791423258252152
bear,1,1,0.00006928761050185278
bear,1,2,0.0001441436674554072
bear,2,0,0.00010684812513384765
bear,2,1,0.0005355626025116062
bear,2,2,0.001196763855031695
tiger,0,0,0.000006445563374288711
tiger,0,1,0.00002595851707613725
tiger,0,2,0.00002103705090968402
tiger,1,0,0.00001838856434433618
tiger,1,1,0.00007390678453530962
tiger,1,2,0.00006406385220240318
tiger,2,0,0.0002315042711233366
tiger,2,1,0.0009283085110201166
tiger,2,2,0.0008643294508562246
gorilla,0,0,0.00000966834506143306
gorilla,0,1,0.00007787555122841168
gorilla,0,2,0.00007100004682018354
gorilla,1,0,0.000027582846516504305
gorilla,1,1,0.00022172035360592873
gorilla,1,2,0.00021621550118311065
gorilla,2,0,0.00006232807299474449
gorilla,2,1,0.0004998584290108314
gorilla,2,2,0.0005235841865763674
lion,0,0,0.00007619983414646855
lion,0,1,0.00017795384364003607
lion,0,2,0.00019845435513644478
lion,1,0,0.00024096873702986277
lion,1,1,0.0005627230782978404
lion,1,2,0.0006283476909838867
lion,2,0,0.0011189222444219686
lion,2,1,0.002612669337897235
lion,2,2,0.0029268502207422534
elephant,0,0,0.00005156450699430952
elephant,0,1,0.0001038340683045488
elephant,0,2,0.00025244461091620814
elephant,1,0,0.00004597141086084042
elephant,1,1,0.00009238348066913695
elephant,1,2,0.00024023944575901198
elephant,2,0,0.000053424062566923724
elephant,2,1,0.00010711252050232112
elephant,2,2,0.00029919096375792423
man,0,0,0.045943975731837956
man,0,1,0.06167743657277876
man,0,2,0.024992016480654636
man,1,0,0.09830526498462465
man,1,1,0.13170189004165836
man,1,2,0.05708089231222704
man,2,0,0.19040335898813554
man,2,1,0.25449934871300617
man,2,2,0.1184796216479009
