category,cute,big,prob
man,0,0,0.011391519877892184
man,0,1,0.0056957599389461004
man,0,2,0.022783039755784454
man,0,3,0.019451557527344225
man,0,4,0.00854363990841916
man,0,5,0.005695759938946112
man,1,0,0.01414633187450662
man,1,1,0.006030804641237051
man,1,2,0.026207941156980795
man,1,3,0.02489304874044265
man,1,4,0.010870339229884054
man,1,5,0.007073165937253334
man,2,0,0.031643110771922695
man,2,1,0.028478799694730515
man,2,2,0.08860071016138395
man,2,3,0.04507650685434272
man,2,4,0.02056802200174978
man,2,5,0.015821555385961385
man,3,0,0.02177046021108285
man,3,1,0.017466997146101428
man,3,2,0.056704454503285866
man,3,3,0.03251717707701888
man,3,4,0.014682403398172181
man,3,5,0.010885230105541462
man,4,0,0.03174047418968248
man,4,1,0.03242201811400092
man,4,2,0.09658451041768457
man,4,3,0.04248719105561852
man,4,4,0.019667410387472016
man,4,5,0.015870237094841297
man,5,0,0.024681626402099734
man,5,1,0.025630919725257478
man,5,2,0.07594346585261488
man,5,3,0.03274166405155177
man,5,4,0.015188693170522955
man,5,5,0.01234081320104991
panda,0,0,0.00010228076209106333
panda,0,1,0.00003835528578414889
panda,0,2,0.00016620623839797854
panda,0,3,0.00045296627598229926
panda,0,4,0.00012145840498313768
panda,0,5,0.00005114038104553186
panda,1,0,0.00009964853659607278
panda,1,1,0.0000370391730366536
panda,1,2,0.00016094178740799737
panda,1,3,0.00044375348674983224
panda,1,4,0.00011882617948814711
panda,1,5,0.00004982426829803656
panda,2,0,0.0006392547630691459
panda,2,1,0.00025570190522765927
panda,2,2,0.001086733097217554
panda,2,3,0.0027123097140598997
panda,2,4,0.0007351429775295176
panda,2,5,0.00031962738153457407
panda,3,0,0.0003567041577925849
panda,3,1,0.00013999679311214405
panda,3,2,0.0005983424582327252
panda,3,3,0.0015334153782647813
panda,3,4,0.00041423708646880805
panda,3,5,0.00017835207889629304
panda,4,0,0.001008547322349863
panda,4,1,0.0004147779943452523
panda,4,2,0.0017486076442106908
panda,4,3,0.004194800888869564
panda,4,4,0.0011427908225943838
panda,4,5,0.0005042736611749332
panda,5,0,0.0008821715730354209
panda,5,1,0.00036437521494941423
panda,5,2,0.0015342114313659553
panda,5,3,0.003657502157605439
panda,5,4,0.0009972374303878668
panda,5,5,0.000441085786517712
