category,cute,big,prob
elephant,0,0,0.000001901347252746449
elephant,0,1,0.00005033631420046432
elephant,0,2,0.00002499232280096443
elephant,1,0,0.00002075188988016158
elephant,1,1,0.00006313248595941471
elephant,1,2,0.00025092681485894497
elephant,2,0,0.00001331208727369971
elephant,2,1,0.0000435839416160234
elephant,2,2,0.00016110514463940086
dog,0,0,0.000003802694505492894
dog,0,1,0.00006292039275058046
dog,0,2,5.206733916867583e-7
dog,1,0,0.0000948657823093101
dog,1,1,0.00018037853131261362
dog,1,2,0.000011948895945664052
dog,2,0,0.00029819075493087334
dog,2,1,0.0006101751826243267
dog,2,2,0.00003759120041586019
cat,0,0,0.000002376684065933059
cat,0,1,0.0000188761178251741
cat,0,2,2.603366958433796e-7
cat,1,0,0.00017787334182995643
cat,1,1,0.00016234067818135192
cat,1,2,0.0000179233439184961
cat,2,0,0.0003461142691161923
cat,2,1,0.00033995474460498184
cat,2,2,0.000034906114671870206
kitten,0,0,0.0000026143524725263677
kitten,0,1,0.000012584078550116076
kitten,0,2,2.603366958433796e-7
kitten,1,0,0.00013044045067530136
kitten,1,1,0.0000721514125250454
kitten,1,2,0.000011948895945664052
kitten,2,0,0.00043929888003209024
kitten,2,1,0.00026150364969614026
kitten,2,2,0.00004027628615985021
whale,0,0,0.000002852020879119672
whale,0,1,0.00015100894260139313
whale,0,2,0.00003436444385132608
whale,1,0,0.000011858222788663757
whale,1,1,0.0000721514125250454
whale,1,2,0.00013143785540230458
whale,2,0,0.000010649669818959759
whale,2,1,0.00006973430658563739
whale,2,2,0.0001181437727355606
panda,0,0,0.000028414336671097196
panda,0,1,0.0002026153920401329
panda,0,2,0.000028459673249597344
panda,1,0,0.00023707677876569737
panda,1,1,0.0016091898546210146
panda,1,2,0.00023739413481519838
panda,2,0,0.0003991660172086855
panda,2,1,0.002722354590259194
panda,2,2,0.0003997100561506873
man,0,0,0.0033882008043873957
man,0,1,0.20182345178635797
man,0,2,0.0009278399839839485
man,1,0,0.05635027469161749
man,1,1,0.3857214513581211
man,1,2,0.014195288383420494
man,2,0,0.03795542323469666
man,2,1,0.2795997022545537
man,2,2,0.009569645591561262
