category,big,majestic,prob
eagle,0,0,0.000029859412168265037
eagle,0,1,0.0008144913514790156
eagle,0,2,0.0004076346867485262
eagle,1,0,0.000015006877455227443
eagle,1,1,0.0003654682114182267
eagle,1,2,0.00018580037882867458
eagle,2,0,0.00006855495454619038
eagle,2,1,0.0002209735232193233
eagle,2,2,0.00021925872186019147
whale,0,0,0.00010549033511094626
whale,0,1,0.00046705705603641335
whale,0,2,0.0004584068501808036
whale,1,0,0.00021155934608944722
whale,1,1,0.0009361394776092679
whale,1,2,0.0009191284038318276
whale,2,0,0.0016388001281627698
whale,2,1,0.006812050163198816
whale,2,2,0.006956101119758303
horse,0,0,0.000002211808308760369
horse,0,1,0.00010558221222876147
horse,0,2,0.000045292742972058516
horse,1,0,0.000025011462425378976
horse,1,1,0.0010659489499698276
horse,1,2,0.0004645009470716861
horse,2,0,0.00013710990909238002
horse,2,1,0.0007734073312676316
horse,2,2,0.0006577761655805741
lion,0,0,0.000008847233235041478
lion,0,1,0.00018099807810644815
lion,0,2,0.0002717564578323509
lion,1,0,0.000015006877455227387
lion,1,1,0.0002741011585636698
lion,1,2,0.0004180508523645173
lion,2,0,0.00018281321212317383
lion,2,1,0.0004419470464386474
lion,2,2,0.0013155523311611482
elephant,0,0,0.0000011059041543801864
elephant,0,1,0.0000754158658776867
elephant,0,2,0.00006227752158658034
elephant,1,0,0.0000012505731212689518
elephant,1,1,0.00007613921071213051
elephant,1,2,0.00006386888022235676
elephant,2,0,0.00027421981818476156
elephant,2,1,0.002209735232193239
elephant,2,2,0.0036177689106931575
man,0,0,0.015327831579709386
man,0,1,0.14932341443781966
man,0,2,0.056049769427922363
man,1,0,0.03899912278677223
man,1,1,0.33920018372254135
man,1,2,0.12933448245027263
man,2,0,0.07918097250084967
man,2,1,0.09115157832797093
man,2,2,0.06783316707549662
