category,tall,long,prob
horse,0,0,0.00009055058353586311
horse,0,1,0.0001961929309943703
horse,0,2,0.00021708080714817434
horse,1,0,0.00030173208690468986
horse,1,1,0.00043154705452647373
horse,1,2,0.00040614847390481963
horse,2,0,0.0014680932571416335
horse,2,1,0.00135762992954117
horse,2,2,0.0009167836480725634
giraffe,0,0,0.000030770429775612734
giraffe,0,1,0.00017523214776847602
giraffe,0,2,0.0004727659089680389
giraffe,1,0,0.00009966368713530604
giraffe,1,1,0.0005624584323477675
giraffe,1,2,0.0014991741027972642
giraffe,2,0,0.0008902987871282443
giraffe,2,1,0.004857713914559065
giraffe,2,2,0.012344819105700382
snake,0,0,0.00014261716906898434
snake,0,1,0.0009613453618724151
snake,0,2,0.0021273919100521107
snake,1,0,0.000014143691573657251
snake,1,1,0.0000629339454517773
snake,1,2,0.00011845997155557224
snake,2,0,0.000055053497142811147
snake,2,1,0.00015839015844646976
snake,2,2,0.00021391618455026472
man,0,0,0.0376509326342496
man,0,1,0.09517319082546435
man,0,2,0.060174799741533995
man,1,0,0.15682525216886883
man,1,1,0.2616793451887519
man,1,2,0.14073044620816014
man,2,0,0.08720473947430031
man,2,1,0.09408375411729723
man,2,2,0.036304632463709706
