category,tall,long,prob
horse,0,0,0.000012946950896398795
horse,0,1,0.0001682840284918499
horse,0,2,0.00035055417578163517
horse,1,0,0.00009152662828191874
horse,1,1,0.00032236307572272046
horse,1,2,0.000587440996318497
horse,2,0,0.0022045164855380027
horse,2,1,0.0019705349947926024
horse,2,2,0.0015180918204677218
giraffe,0,0,0.000035565511671139577
giraffe,0,1,0.00020425652757562323
giraffe,0,2,0.0006447332791258915
giraffe,1,0,0.00011001582439690406
giraffe,1,1,0.0006293660296442966
giraffe,1,2,0.0019707120205960157
giraffe,2,0,0.0011931675853911372
giraffe,2,1,0.006467988342134282
giraffe,2,2,0.017941583803426284
snake,0,0,0.000020391447661828093
snake,0,1,0.0008245917396100641
snake,0,2,0.0034354309226600284
snake,1,0,0.00000429031070071492
snake,1,1,0.00004701128187623
snake,1,2,0.00017133695725956143
snake,2,0,0.00008266936820767494
snake,2,1,0.00022989574939247018
snake,2,2,0.0003542214247758016
man,0,0,0.005383342182728011
man,0,1,0.08163458222147818
man,0,2,0.09717361752676627
man,1,0,0.04757096504957475
man,1,1,0.19547291004155992
man,1,2,0.20354830522456188
man,2,0,0.1309482792410882
man,2,1,0.1365580751392638
man,2,2,0.060116436090581656
