category,big,hard,prob
turtle,0,0,0.0001928376408318672
turtle,0,1,0.00022963582856973136
turtle,0,2,0.00033670189743153426
turtle,1,0,0.00003870962726196094
turtle,1,1,0.00004606926480953379
turtle,1,2,0.00006805087496424425
turtle,2,0,0.00019393311477951204
turtle,2,1,0.0002012927523270849
turtle,2,2,0.0008441683125519978
whale,0,0,0.000044995449527435504
whale,0,1,0.00008419980380890133
whale,0,2,0.000006734037948630696
whale,1,0,0.00009032246361124193
whale,1,1,0.00016892063763495702
whale,1,2,0.000013610174992848883
whale,2,0,0.00248880830633706
whale,2,1,0.0040594038385962
whale,2,2,0.0009285851438071984
armadillo,0,0,0.00015427011266549363
armadillo,0,1,0.00018370866285578495
armadillo,0,2,0.0002693615179452277
armadillo,1,0,0.00009677406815490226
armadillo,1,1,0.00011517316202383436
armadillo,1,2,0.00017012718741061047
armadillo,2,0,0.00009696655738975601
armadillo,2,1,0.00010064637616354244
armadillo,2,2,0.0004220841562759989
elephant,0,0,0.0003672832329285048
elephant,0,1,0.00037586947673400647
elephant,0,2,0.0003380005386145408
elephant,1,0,0.00036744901520669023
elephant,1,1,0.0003760352590121919
elephant,1,2,0.00033816632089272617
elephant,2,0,0.006582517007725993
elephant,2,1,0.006685551933392013
elephant,2,2,0.006231124675958425
man,0,0,0.12218192923107098
man,0,1,0.08487340223937263
man,0,2,0.007111144073754015
man,1,0,0.2759222231232568
man,1,1,0.19155600307804085
man,1,2,0.016168887891504422
man,2,0,0.15359502690537277
man,2,1,0.09299725157511274
man,2,2,0.022286043451372695
