category,big,majestic,prob
man,0,0,0.010095990367863234
man,0,1,0.00519327894776185
man,0,2,0.010480130489177047
man,0,3,0.025358172880062244
man,0,4,0.021615269133927615
man,0,5,0.03537044040097244
man,1,0,0.008476938253992468
man,1,1,0.0037896900429613407
man,1,2,0.010386557895523677
man,1,3,0.03537044040097251
man,1,4,0.028422675322210062
man,1,5,0.049055432222777355
man,2,0,0.017811372725533067
man,2,1,0.007229562543495464
man,2,2,0.02386245095997233
man,2,3,0.09240365602188144
man,2,4,0.07291752328815877
man,2,5,0.1279382083563383
man,3,0,0.010095990367863234
man,3,1,0.00519327894776185
man,3,2,0.010480130489177047
man,3,3,0.025358172880062244
man,3,4,0.021615269133927615
man,3,5,0.03537044040097244
man,4,0,0.016510637906468995
man,4,1,0.009474225107403351
man,4,2,0.014410179422618418
man,4,3,0.017264143529046094
man,4,4,0.017685220200486254
man,4,5,0.024562805834008685
man,5,0,0.0312261927529697
man,5,1,0.018303558015303777
man,5,2,0.026182623299818995
man,5,3,0.023150365467646383
man,5,4,0.02651455310838668
man,5,5,0.03339213874190911
whale,0,0,0.0001394883320595641
whale,0,1,0.00006828908981268424
whale,0,2,0.000145557367905237
whale,0,3,0.0007414919163744047
whale,0,4,0.00028780661381262745
whale,0,5,0.0007145543515347993
whale,1,0,0.0001305091437796955
whale,1,1,0.00006379949567274995
whale,1,2,0.0001365781796253684
whale,1,3,0.0007145543515347989
whale,1,4,0.00027433783139282463
whale,1,5,0.0006876167866951934
whale,2,0,0.00025617606942627885
whale,2,1,0.0001251778822789438
whale,2,2,0.0002683141411176246
whale,2,3,0.0014145820486702592
whale,2,4,0.0005414123355859803
whale,2,5,0.0013607069189910481
whale,3,0,0.0001394883320595641
whale,3,1,0.00006828908981268424
whale,3,2,0.000145557367905237
whale,3,3,0.0007414919163744047
whale,3,4,0.00028780661381262745
whale,3,5,0.0007145543515347993
whale,4,0,0.00018580204002941212
whale,4,1,0.00009144594379760825
whale,4,2,0.000191871075875085
whale,4,3,0.0008804330402839487
whale,4,4,0.00035727717576739947
whale,4,5,0.0008534954754443433
whale,5,0,0.002697847100168011
whale,5,1,0.0013329177116959295
whale,5,2,0.0027646064944704127
whale,5,3,0.011646837422656866
whale,5,4,0.00491108592320811
whale,5,5,0.011350524209421205
