category,fast,small,prob
man,0,0,0.0843702753752042
man,0,1,0.15839707949046772
man,0,2,0.10343471259940933
man,1,0,0.081801308657049
man,1,1,0.16360261731409811
man,1,2,0.09481515321612521
man,2,0,0.06940717098173854
man,2,1,0.12951873870699435
man,2,2,0.08551954995964234
bird,0,0,0.000805789667044978
bird,0,1,0.0003465578440892602
bird,0,2,0.007733532185834209
bird,1,0,0.0012093673731666565
bird,1,1,0.0005258119013768089
bird,1,2,0.011436408854945556
bird,2,0,0.0006409897464402981
bird,2,1,0.000275425281673566
bird,2,2,0.00615951084469974
