category,tall,long,prob
horse,0,0,0.000001551084405871308
horse,0,1,0.00013453400775654205
horse,0,2,0.0004301196181405231
horse,1,0,0.00002161029064844757
horse,1,1,0.00022960082910975757
horse,1,2,0.0006953645973744826
horse,2,0,0.002570185270287304
horse,2,1,0.0021943803416197534
horse,2,2,0.0018228953993343806
giraffe,0,0,0.000036852072266709915
giraffe,0,1,0.00020648881040890622
giraffe,0,2,0.0007203673000252446
giraffe,1,0,0.0001114528678438357
giraffe,1,1,0.0006239496864452487
giraffe,1,2,0.0021709650615565025
giraffe,2,0,0.001309871609667933
giraffe,2,1,0.006971698580771457
giraffe,2,2,0.020393483303084565
snake,0,0,0.0000024429579392473088
snake,0,1,0.0006592166380070566
snake,0,2,0.00421517225777713
snake,1,0,0.0000010129823741459752
snake,1,1,0.000033483454245172934
snake,1,2,0.00020281467423422384
snake,2,0,0.00009638194763577371
snake,2,1,0.00025601103985563783
snake,2,2,0.0004253422598446887
man,0,0,0.0006449408959619367
man,0,1,0.06526244716276393
man,0,2,0.11922915814867202
man,1,0,0.011231948564541832
man,1,1,0.13922420275156833
man,1,2,0.24094383299049824
man,2,0,0.15266900505521866
man,2,1,0.15207055767440109
man,2,2,0.07218665781371345
