category,tall,long,prob
man,0,0,0.059087460943095
man,0,1,0.11860938851077164
man,0,2,0.06075848642225475
man,1,0,0.14393623703785086
man,1,1,0.25975992777924634
man,1,2,0.12795730163242452
man,2,0,0.072635726297394
man,2,1,0.0826727919918093
man,2,2,0.03129796619905729
giraffe,0,0,0.00005579730099243959
giraffe,0,1,0.0003479494612449889
giraffe,0,2,0.0009787434949365271
giraffe,1,0,0.00017436195577809333
giraffe,1,1,0.00107869864773884
giraffe,1,2,0.003012901065618105
giraffe,2,0,0.0017289102702376464
giraffe,2,1,0.009954847520561272
giraffe,2,2,0.025952503468988274
