category,tall,long,prob
horse,0,0,0.000002223983218958611
horse,0,1,0.00000559330915549746
horse,0,2,0.000004691858877708338
horse,0,3,0.00003754757114186135
horse,0,4,0.00005916357582817487
horse,0,5,0.000013770564864897023
horse,1,0,0.000016625798511313
horse,1,1,0.00003237125171070318
horse,1,2,0.000026762823838453608
horse,1,3,0.00019214256164252225
horse,1,4,0.0002991214085907856
horse,1,5,0.00006995400080778894
horse,2,0,0.000021789713192791703
horse,2,1,0.00004413062861654732
horse,2,2,0.00003657611054000719
horse,2,3,0.0002678104625210942
horse,2,4,0.00041787812919327234
horse,2,5,0.0000976383201862953
horse,3,0,0.000036177378569015995
horse,3,1,0.00003657014801587395
horse,3,2,0.000028421365034075935
horse,3,3,0.00010047867198860161
horse,3,4,0.00013736479893500882
horse,3,5,0.00003388701215601376
horse,4,0,0.00007582738616397327
horse,4,1,0.00009117488957382318
horse,4,2,0.00007235618326904936
horse,4,3,0.0003468089854647344
horse,4,4,0.0005081299188727816
horse,4,5,0.00012177162300163709
horse,5,0,0.00041739713648924717
horse,5,1,0.0003453600769323896
horse,5,2,0.0002605106887325478
horse,5,3,0.000441222862891481
horse,5,4,0.00042392583958394665
horse,5,5,0.00012345673196116521
giraffe,0,0,0.000028866161677867852
giraffe,0,1,0.000029819692322950495
giraffe,0,2,0.00005997063598662449
giraffe,0,3,0.0001512330312781659
giraffe,0,4,0.00033699789883760717
giraffe,0,5,0.00021095964949486562
giraffe,1,0,0.00002908639697452865
giraffe,1,1,0.000030039927619611297
giraffe,1,2,0.00006041110657994609
giraffe,1,3,0.0001521139724648091
giraffe,1,4,0.00033853954591423277
giraffe,1,5,0.0002120608259781696
giraffe,2,0,0.000029043928268155894
giraffe,2,1,0.00002999745891323854
giraffe,2,2,0.00006032616916720058
giraffe,2,3,0.00015194409763931807
giraffe,2,4,0.00033824226496962344
giraffe,2,5,0.00021184848244630583
giraffe,3,0,0.00009611730867293282
giraffe,3,1,0.00009897790060818074
giraffe,3,2,0.00019894955523853196
giraffe,3,3,0.0004917743883918143
giraffe,3,4,0.0010776254619881264
giraffe,3,5,0.0006804730666812424
giraffe,4,0,0.000060634099376350826
giraffe,4,1,0.0000625411606665161
giraffe,4,2,0.00012574482401447924
giraffe,4,3,0.0003140731666387921
giraffe,4,4,0.0006943082298195196
giraffe,4,5,0.0004364281790928066
giraffe,5,0,0.0010124611344004683
giraffe,5,1,0.0010296246860119558
giraffe,5,2,0.002065211896156935
giraffe,5,3,0.004693675459802365
giraffe,5,4,0.00951605374846885
giraffe,5,5,0.006261624811901812
snake,0,0,0.000021350238902002636
snake,0,1,0.000022373236621989764
snake,0,2,0.00010009298939111094
snake,0,3,0.0006007611382697796
snake,0,4,0.0009466172132507967
snake,0,5,0.0011016451891917574
snake,1,0,0.000011970574928145385
snake,1,1,0.000009711375513210981
snake,1,2,0.0000428205181415259
snake,1,3,0.00023057107397102716
snake,1,4,0.00035894569030894347
snake,1,5,0.00041972400484673413
snake,2,0,0.0000018676897022392921
snake,2,1,0.0000015760938791624065
snake,2,2,0.000006966878198096622
snake,2,3,0.00003825863750301351
snake,2,4,0.00005969687559903899
snake,2,5,0.00006974165727592526
snake,3,0,0.000010853213570704818
snake,3,1,0.00000457126850198425
snake,3,2,0.000018947576689384
snake,3,3,0.000050239335994300895
snake,3,4,0.00006868239946750452
snake,3,5,0.00008471753039003446
snake,4,0,0.0000056870539622979945
snake,4,1,0.0000028492152991819756
snake,4,2,0.000012059363878174898
snake,4,3,0.00004335112318309179
snake,4,4,0.00006351623985909769
snake,4,5,0.0000761072643760231
snake,5,0,0.00008347942729784979
snake,5,1,0.000028780006411032586
snake,5,2,0.00011578252832557735
snake,5,3,0.00014707428763049423
snake,5,4,0.0001413086131946495
snake,5,5,0.0002057612199352761
man,0,0,0.0027741966673317333
man,0,1,0.0024918192287765963
man,0,2,0.009754374606765356
man,0,3,0.008363721471857937
man,0,4,0.0351431640419709
man,0,5,0.012269573294635447
man,1,0,0.006913007021010854
man,1,1,0.004807130879044228
man,1,2,0.01854663692006689
man,1,3,0.014266585201971532
man,1,4,0.059226038901034825
man,1,5,0.020776338239934057
man,2,0,0.009060162745571842
man,2,1,0.006553398349563822
man,2,2,0.025347244604250304
man,2,3,0.01988492684221111
man,2,4,0.08273986958035073
man,2,5,0.028998581095358657
man,3,0,0.06017021603604765
man,3,1,0.02172266792145089
man,3,2,0.07878402387453735
man,3,3,0.029842165580644568
man,3,4,0.10879292075663609
man,3,5,0.04025777044138463
man,4,0,0.007882256791752898
man,4,1,0.0033848677754315646
man,4,2,0.012535708751375324
man,4,3,0.006437641792695553
man,4,4,0.025152430984227824
man,4,5,0.009041543007880565
man,5,0,0.05785124311746776
man,5,1,0.01709532380817044
man,5,2,0.06017796909727898
man,5,3,0.010920265856575108
man,5,4,0.027979105412568584
man,5,5,0.012222216464167619
