category,small,industrious,prob
man,0,0,0.014198223808436897
man,0,1,0.057587201460792964
man,0,2,0.16390098147033777
man,1,0,0.030034704210154996
man,1,1,0.11331274770194835
man,1,2,0.30656111883468534
man,2,0,0.015563437636171271
man,2,1,0.06776424999481256
man,2,2,0.20156205258025053
ant,0,0,0.00041370115991948877
ant,0,1,0.0007461664557093356
ant,0,2,0.0015330718845752147
ant,1,0,0.00018202851036457535
ant,1,1,0.00032343908866432953
ant,1,2,0.0006589736407085409
ant,2,0,0.0038474207872512462
ant,2,1,0.007085572593530185
ant,2,2,0.014724908181686128
