category,funny,smart,prob
man,0,0,0.00680659319301014
man,0,1,0.032227135117925514
man,0,2,0.09813461834317916
man,1,0,0.01750266821059754
man,1,1,0.08501295988004509
man,1,2,0.24773007313461157
man,2,0,0.024613127171152792
man,2,1,0.1209559392410936
man,2,2,0.3453411073860209
monkey,0,0,0.00025537001878537423
monkey,0,1,0.002806263942696419
monkey,0,2,0.0024177043198615297
monkey,1,0,0.0003535892567797486
monkey,1,1,0.003914738200061497
monkey,1,2,0.003331898765809164
monkey,2,0,0.0003996295245896119
monkey,2,1,0.004438281816870799
monkey,2,2,0.0037583024769097437
