category,small,industrious,prob
ant,0,0,0.0001410351944560903
ant,0,1,0.00028996962219388073
ant,0,2,0.0007180002185617719
ant,1,0,0.000060826618701034676
ant,1,1,0.0001256028540429193
ant,1,2,0.0003170058689971738
ant,2,0,0.0012005920197584864
ant,2,1,0.002460428289129723
ant,2,2,0.006003923238343801
beaver,0,0,0.00001823352202469709
beaver,0,1,0.000036516549624211006
beaver,0,2,0.00009534698563609037
beaver,1,0,0.000026561086610081237
beaver,1,1,0.00006952133197259755
beaver,1,2,0.00029906698851858997
beaver,2,0,0.00037115219639002813
beaver,2,1,0.0007048109766544412
beaver,2,2,0.0015631261408906559
mouse,0,0,0.00004558380506174277
mouse,0,1,0.000036516549624211006
mouse,0,2,0.00004333953892549559
mouse,1,0,0.000013280543305040619
mouse,1,1,0.00001390426639451952
mouse,1,2,0.000027187908047144542
mouse,2,0,0.00123717398796676
mouse,2,1,0.0009397479688725874
mouse,2,2,0.0009473491762973664
monkey,0,0,0.000013675141518522782
monkey,0,1,0.00007303309924842203
monkey,0,2,0.00004333953892549559
monkey,1,0,0.00004780995589814613
monkey,1,1,0.0003337023934684684
monkey,1,2,0.0003262548965657344
monkey,2,0,0.00011598506137188363
monkey,2,1,0.0005873424805453694
monkey,2,2,0.00029604661759292765
man,0,0,0.007220474721780042
man,0,1,0.04131586757482148
man,0,2,0.21967945490555188
man,1,0,0.005785004663675688
man,1,1,0.043262131724662096
man,1,2,0.3789776878507573
man,2,0,0.009186016860653215
man,2,1,0.049840204777706995
man,2,2,0.22509016428825498
