category,funny,cute,prob
man,0,0,0.014109657119136766
man,0,1,0.016786874110972943
man,0,2,0.025457386359418077
man,0,3,0.019796934296388808
man,0,4,0.02720631321433548
man,0,5,0.020142972041120595
man,1,0,0.0078145793275219
man,1,1,0.009406438079424493
man,1,2,0.013994944459631562
man,1,3,0.010911468172132423
man,1,4,0.01461615763110576
man,1,5,0.010831236788513816
man,2,0,0.013024298879203162
man,2,1,0.01432672876712346
man,2,2,0.02461910153995719
man,2,3,0.018841819045247264
man,2,4,0.029955887422167267
man,2,5,0.02207427126217891
man,3,0,0.022792523038605534
man,3,1,0.026338026622388603
man,3,2,0.041870120719389524
man,3,3,0.03235814699322034
man,3,4,0.04717690482911369
man,3,5,0.0348591528825732
man,4,0,0.02821931423827353
man,4,1,0.03357374822194592
man,4,2,0.050914772718836154
man,4,3,0.03959386859277766
man,4,4,0.054412626428671
man,4,5,0.0402859440822412
man,5,0,0.0214900931506852
man,5,1,0.022575451390618777
man,5,2,0.0416406954003792
man,5,3,0.03160563194686638
man,5,4,0.053833768700706386
man,5,5,0.0395900379166367
penguin,0,0,0.00028504357816437875
penguin,0,1,0.00026969507780168157
penguin,0,2,0.0005936179582785382
penguin,0,3,0.00043874784608224953
penguin,0,4,0.0012202057788344405
penguin,0,5,0.0008649653828347797
penguin,1,0,0.00020026138568471726
penguin,1,1,0.00019002905210958583
penguin,1,2,0.00041620997266928904
penguin,1,3,0.0003078470644175302
penguin,1,4,0.0008492836867359202
penguin,1,5,0.0006022244224943495
penguin,2,0,0.00015348500362697302
penguin,2,1,0.00014325267005184158
penguin,2,2,0.0003226572085538004
penguin,2,3,0.00023768249133091364
penguin,2,4,0.0006855663495338151
penguin,2,5,0.00048528346734998866
penguin,3,0,0.0003435140557365587
penguin,3,1,0.00032304938858629585
penguin,3,2,0.0007184025140728261
penguin,3,3,0.0005301810553857472
penguin,3,4,0.0014990368687567747
penguin,3,5,0.0010619270559065071
penguin,4,0,0.0005700871563287576
penguin,4,1,0.0005393901556033633
penguin,4,2,0.0011872359165570764
penguin,4,3,0.0008774956921644991
penguin,4,4,0.002440411557668881
penguin,4,5,0.0017299307656695594
penguin,5,0,0.00021487900507776244
penguin,5,1,0.0001995305047150653
penguin,5,2,0.00045328881210530546
penguin,5,3,0.00033350098645232475
penguin,5,4,0.0009746297730312828
penguin,5,5,0.000689553950118239
