category,fast,small,prob
man,0,0,0.07098665624337765
man,0,1,0.13381557174910924
man,0,2,0.11972392782982852
man,1,0,0.08363177757434163
man,1,1,0.17882261089595675
man,1,2,0.11812711288683563
man,2,0,0.05725506050926334
man,2,1,0.10628663896699135
man,2,2,0.09834457508802687
bird,0,0,0.0007886763743052947
bird,0,1,0.0003473549204552348
bird,0,2,0.008713218246990671
bird,1,0,0.0012772111815365246
bird,1,1,0.0005728290173918859
bird,1,2,0.013496487477105287
bird,2,0,0.0006232623666756772
bird,2,1,0.0002740445699799085
bird,2,2,0.006912984101828353
