category,fast,small,prob
man,0,0,0.057973252014415715
man,0,1,0.12259350311187434
man,0,2,0.1236669966749243
man,1,0,0.08536121292110188
man,1,1,0.20404921892655611
man,1,2,0.13084345774425352
man,2,0,0.04548481749382405
man,2,1,0.09438913150154192
man,2,2,0.10093616117379503
bird,0,0,0.0007547872365233036
bird,0,1,0.0003492080199085999
bird,0,2,0.009035780438239258
bird,1,0,0.0013186730271228142
bird,1,1,0.0006198766758671356
bird,1,2,0.014614874333461385
bird,2,0,0.000592410694869057
bird,2,1,0.00027365686875208687
bird,2,2,0.0071429811429695135
