category,cute,big,prob
man,0,0,0.010803758439444278
man,0,1,0.12246241731101766
man,0,2,0.020854600084989214
man,1,0,0.06376985093217956
man,1,1,0.27435411236042784
man,1,2,0.04014734336654905
man,2,0,0.09336168244351625
man,2,1,0.3082177463201795
man,2,2,0.041494081086007176
panda,0,0,0.00008768134754457976
panda,0,1,0.000622009358041394
panda,0,2,0.00014880478348777246
panda,1,0,0.0008319221334162933
panda,1,1,0.005444829009310933
panda,1,2,0.0012597861850186414
panda,2,0,0.0018860945948185135
panda,2,1,0.011633704417914505
panda,2,2,0.002619575826136825
