category,fast,agile,prob
cheetah,0,0,0.000026453399682698846
cheetah,0,1,0.000025077708258246472
cheetah,0,2,0.00010906523300677398
cheetah,0,3,0.00005042291207124767
cheetah,0,4,0.00008085053142458641
cheetah,0,5,0.00023229313974891947
cheetah,1,0,0.000025072650569185986
cheetah,1,1,0.000023696959144733612
cheetah,1,2,0.00010354223655272252
cheetah,1,3,0.00004766141384422194
cheetah,1,4,0.00007670828408404784
cheetah,1,5,0.00022124714684081662
cheetah,2,0,0.000024752476861704745
cheetah,2,1,0.000023376785437252365
cheetah,2,2,0.00010226154172279755
cheetah,2,3,0.000047021066429259455
cheetah,2,4,0.00007574776296160411
cheetah,2,5,0.00021868575718096667
cheetah,3,0,0.00005116807825949272
cheetah,3,1,0.000048416695410587966
cheetah,3,2,0.00021117558158992801
cheetah,3,3,0.00009736838193068538
cheetah,3,4,0.00015648489953145792
cheetah,3,5,0.0004506765106505993
cheetah,4,0,0.00008141921088403658
cheetah,4,1,0.00007729213661067947
cheetah,4,2,0.0003354317463640821
cheetah,4,3,0.00015538675988562313
cheetah,4,4,0.00024872862978157935
cheetah,4,5,0.0007133515139342786
cheetah,5,0,0.00037206471764374
cheetah,5,1,0.0003569321119747638
cheetah,5,2,0.0015240268476107248
cheetah,5,3,0.0007168066750518299
cheetah,5,4,0.001132587809072608
cheetah,5,5,0.0032038431063105346
deer,0,0,0.00000558874641183777
deer,0,1,0.000012639164962156179
deer,0,2,0.000012803309961664748
deer,0,3,0.00002608081658857634
deer,0,4,0.000024342095482671213
deer,0,5,0.000024515967593261673
deer,1,0,0.000012623991894974706
deer,1,1,0.00002549075286485276
deer,1,2,0.000030125435203917016
deer,1,3,0.00005338896572249737
deer,1,4,0.00005645729708585917
deer,1,5,0.00006112116075816916
deer,2,0,0.000015551294363374703
deer,2,1,0.000030145585996695565
deer,2,2,0.00003760585727870623
deer,2,3,0.0000635011186504468
deer,2,4,0.00007015361679477929
deer,2,5,0.00007765279652111764
deer,3,0,0.000028316315153311486
deer,3,1,0.0000601864998197915
deer,3,2,0.00006638753313455824
deer,3,3,0.000125187919625167
deer,3,4,0.0001251879196251665
deer,3,5,0.00013144731560642457
deer,4,0,0.000012550167380969048
deer,4,1,0.000029396353596192864
deer,4,2,0.000028351969037916526
deer,4,3,0.00006039768052091372
deer,4,4,0.00005417488919451647
deer,4,5,0.00005314995885840391
deer,5,0,0.000038878235908436614
deer,5,1,0.00010425348490523845
deer,5,2,0.00008263392323084093
deer,5,3,0.0002109144298032693
deer,5,4,0.00016147427313970703
deer,5,5,0.00013988389279855486
jaguar,0,0,0.00000558874641183777
jaguar,0,1,0.000012639164962156179
jaguar,0,2,0.000012803309961664748
jaguar,0,3,0.000008693605529525437
jaguar,0,4,0.000024342095482671213
jaguar,0,5,0.00005720392438427738
jaguar,1,0,0.000004207997298324912
jaguar,1,1,0.000008496917621617607
jaguar,1,2,0.000010041811734639027
jaguar,1,3,0.000005932107302499715
jaguar,1,4,0.000018819099028619767
jaguar,1,5,0.00004753868058968736
jaguar,2,0,0.000015551294363374727
jaguar,2,1,0.000030145585996695565
jaguar,2,2,0.00003760585727870629
jaguar,2,3,0.000021167039550148983
jaguar,2,4,0.00007015361679477929
jaguar,2,5,0.00018118985854927494
jaguar,3,0,0.000014158157576655667
jaguar,3,1,0.00003009324990989567
jaguar,3,2,0.00003319376656727894
jaguar,3,3,0.00002086465327086103
jaguar,3,4,0.00006259395981258307
jaguar,3,5,0.00015335520154082847
jaguar,4,0,0.00003137541845242254
jaguar,4,1,0.00007349088399048196
jaguar,4,2,0.00007087992259479114
jaguar,4,3,0.000050331400434094584
jaguar,4,4,0.00013543722298629083
jaguar,4,5,0.0003100414266740227
jaguar,5,0,0.00006479705984739445
jaguar,5,1,0.0001737558081753977
jaguar,5,2,0.0001377232053847351
jaguar,5,3,0.00011717468322403856
jaguar,5,4,0.00026912378856617874
jaguar,5,5,0.0005439929164388267
monkey,0,0,0.00000558874641183777
monkey,0,1,0.000004213054987385396
monkey,0,2,0.0000256066199233295
monkey,0,3,0.00002608081658857634
monkey,0,4,0.000012171047741335603
monkey,0,5,0.00004085994598876952
monkey,1,0,0.000021039986491624547
monkey,1,1,0.000014161529369362678
monkey,1,2,0.00010041811734639021
monkey,1,3,0.00008898160953749577
monkey,1,4,0.00004704774757154938
monkey,1,5,0.000169781002106026
monkey,2,0,0.000019439117954218327
monkey,2,1,0.00001256066083195646
monkey,2,2,0.00009401464319676532
monkey,2,3,0.00007937639831305842
monkey,2,4,0.000043846010496736936
monkey,2,5,0.0001617766594189949
monkey,3,0,0.00002359692929442615
monkey,3,1,0.00001671847217216428
monkey,3,2,0.00011064588855759672
monkey,3,3,0.00010432326635430544
monkey,3,4,0.00005216163317715259
monkey,3,5,0.0001825657161200341
monkey,4,0,0.000012550167380969048
monkey,4,1,0.000009798784532064294
monkey,4,2,0.00005670393807583306
monkey,4,3,0.00006039768052091372
monkey,4,4,0.000027087444597258237
monkey,4,5,0.00008858326476400663
monkey,5,0,0.000012959411969478902
monkey,5,1,0.000011583720545026528
monkey,5,2,0.00005508928215389409
monkey,5,3,0.00007030480993442326
monkey,5,4,0.000026912378856617894
monkey,5,5,0.00007771327377697522
cat,0,0,0.000011177492823675562
cat,0,1,0.000025278329924312406
cat,0,2,0.0000640165498083237
cat,0,3,0.000026080816588576313
cat,0,4,0.000024342095482671254
cat,0,5,0.00008171989197753905
cat,1,0,0.00000841599459664984
cat,1,1,0.000016993835243235247
cat,1,2,0.0000502090586731951
cat,1,3,0.00001779632190749915
cat,1,4,0.0000188190990286198
cat,1,5,0.00006791240084241046
cat,2,0,0.00002332694154506208
cat,2,1,0.00004521837899504332
cat,2,2,0.00014102196479514814
cat,2,3,0.00004762583898783498
cat,2,4,0.000052615212596084526
cat,2,5,0.00019413199130279427
cat,3,0,0.00002359692929442615
cat,3,1,0.000050155416516492856
cat,3,2,0.00013830736069699577
cat,3,3,0.00005216163317715263
cat,3,4,0.00005216163317715259
cat,3,5,0.0001825657161200341
cat,4,0,0.000012550167380969048
cat,4,1,0.000029396353596192864
cat,4,2,0.00007087992259479114
cat,4,3,0.000030198840260456776
cat,4,4,0.000027087444597258237
cat,4,5,0.00008858326476400648
cat,5,0,0.00002591882393895785
cat,5,1,0.00006950232327015926
cat,5,2,0.0001377232053847351
cat,5,3,0.00007030480993442316
cat,5,4,0.00005382475771323589
cat,5,5,0.00015542654755395046
man,0,0,0.011065717895438825
man,0,1,0.008341848875023115
man,0,2,0.03168819215512025
man,0,3,0.021516673685575475
man,0,4,0.018074005895883344
man,0,5,0.016180538611552775
man,1,0,0.020829586626708363
man,1,1,0.0140199140756691
man,1,2,0.06213371010807888
man,1,3,0.036704913934216946
man,1,4,0.03493295257187531
man,1,5,0.033616638416993215
man,2,0,0.011546836064805702
man,2,1,0.007461032534182152
man,2,2,0.03490293628679904
man,2,3,0.0196456585824819
man,2,4,0.019533397676296232
man,2,5,0.0192190671389766
man,3,0,0.014016576000889153
man,3,1,0.009930772470265603
