category,tall,long,prob
man,0,0,0.0020029473167626093
man,0,1,0.0974401463963345
man,0,2,0.10279458031925326
man,1,0,0.009645481108458778
man,1,1,0.19981493095823555
man,1,2,0.20699905725723963
man,2,0,0.11793343887088045
man,2,1,0.13053106401035383
man,2,2,0.058710172143452116
giraffe,0,0,0.00007475586097981767
giraffe,0,1,0.0004724059463072181
giraffe,0,2,0.0016341703714927791
giraffe,1,0,0.00022579344508094002
giraffe,1,1,0.0014248471496290905
giraffe,1,2,0.004919295598034701
giraffe,2,0,0.0028281026439511427
giraffe,2,1,0.016014419406510196
giraffe,2,2,0.0465343911970435
