category,big,hard,prob
man,0,0,0.09822372669803538
man,0,1,0.10239217188969588
man,0,2,0.05147933851285035
man,1,0,0.18804936679322454
man,1,1,0.21115920942335845
man,1,2,0.11033617527435406
man,2,0,0.09792150238603667
man,2,1,0.06839462588748182
man,2,2,0.02509742974680055
elephant,0,0,0.000607387047911512
elephant,0,1,0.0007212633054430991
elephant,0,2,0.0009176913683352209
elephant,1,0,0.0005858122136483729
elephant,1,1,0.0006996884711799599
elephant,1,2,0.0008961165340720819
elephant,2,0,0.012476109170702757
elephant,2,1,0.013842624261081803
elephant,2,2,0.016199761015787264
