category,funny,smart,prob
hyena,0,0,0.00005749694971528851
hyena,0,1,0.0006109047124732936
hyena,0,2,0.000057405482227892854
hyena,1,0,0.00008979567717914577
hyena,1,1,0.0006755547760283353
hyena,1,2,0.00006946098776407182
hyena,2,0,0.00005199574784242007
hyena,2,1,0.00042086471214676735
hyena,2,2,0.000042373306704209267
dog,0,0,0.0000164276999186538
dog,0,1,0.00009309024190069216
dog,0,2,0.0000738070485787192
dog,1,0,0.00010476162337567013
dog,1,1,0.00042034519397318655
dog,1,2,0.00036467018576137687
dog,2,0,0.00010399149568483996
dog,2,1,0.0004489223596232185
dog,2,2,0.0003813597603378834
dolphin,0,0,0.000024641549877980867
dolphin,0,1,0.00013963536285103813
dolphin,0,2,0.0003690352428935968
dolphin,1,0,0.000029931892393048714
dolphin,1,1,0.00012009862684948187
dolphin,1,2,0.0003473049388203593
dolphin,2,0,0.00004549627936211755
dolphin,2,1,0.0001964035323351577
dolphin,2,2,0.0005561496504927455
monkey,0,0,0.00009378467948938199
monkey,0,1,0.0010884339000522807
monkey,0,2,0.0010197239588088153
monkey,1,0,0.00015080516358986873
monkey,1,1,0.0017339322936363781
monkey,1,2,0.0016308673817711798
monkey,2,0,0.00017249709135865482
monkey,2,1,0.0019884983476138544
monkey,2,2,0.00186825595043779
cat,0,0,0.00003285539983730772
cat,0,1,0.00018618048380138498
cat,0,2,0.00014761409715743912
cat,1,0,0.00008979567717914577
cat,1,1,0.0003602958805484454
cat,1,2,0.0003125744449383226
cat,2,0,0.00009099255872423494
cat,2,1,0.0003928070646703162
cat,2,2,0.00033368979029564763
man,0,0,0.0020329278649334113
man,0,1,0.023039834870421223
man,0,2,0.06495020274927281
man,1,0,0.011112215050919307
man,1,1,0.08917323043574008
man,1,2,0.2750655115457241
man,2,0,0.014477566039873841
man,2,1,0.1249968195075896
man,2,2,0.377546162734504
