category,big,hard,prob
man,0,0,0.0649012874154056
man,0,1,0.1077980169862651
man,0,2,0.059317427336357496
man,1,0,0.1347213371438826
man,1,1,0.23595004515364124
man,1,2,0.13157978491667424
man,2,0,0.1044345397228244
man,2,1,0.07840488133680047
man,2,2,0.02953089314558486
elephant,0,0,0.0006237864035139913
elephant,0,1,0.0008003998698286679
elephant,0,2,0.001052452846321057
elephant,1,0,0.0006163840543945134
elephant,1,1,0.00079299752070919
elephant,1,2,0.0010450504972015792
elephant,2,0,0.013722452247044792
elephant,2,1,0.01584181384282091
elephant,2,2,0.018866449560729578
