category,slow,strong,prob
man,0,0,0.034236515446370006
man,0,1,0.034989976065425796
man,0,2,0.02122553695145319
man,0,3,0.018524104975813655
man,0,4,0.02083961809779043
man,0,5,0.012349403317209132
man,1,0,0.04651700468256786
man,1,1,0.04869928391458942
man,1,2,0.03273418848032549
man,1,3,0.028116945052574265
man,1,4,0.029770882996843415
man,1,5,0.017917661062915
man,2,0,0.041348448606727
man,2,1,0.0418078758134683
man,2,2,0.024119928353924062
man,2,3,0.021225536951453138
man,2,4,0.024602326921002553
man,2,5,0.014471957012354432
man,3,0,0.026979862715889327
man,3,1,0.02797911689055183
man,3,2,0.018089946265443017
man,3,3,0.01562971357334275
man,3,4,0.016932189704454682
man,3,5,0.010130369908648084
man,4,0,0.024064797089115096
man,4,1,0.02675704052061971
man,4,2,0.022190334085610098
man,4,3,0.018524104975813634
man,4,4,0.01736634841482532
man,4,5,0.010805727902557967
man,5,0,0.04192003010217285
man,5,1,0.047899340072263125
man,5,2,0.04299022524258218
man,5,3,0.035549936755054044
man,5,4,0.031872357090738206
man,5,5,0.020090481499503744
turtle,0,0,0.0006386038173705617
turtle,0,1,0.00025662954073535376
turtle,0,2,0.00003995624494993484
turtle,0,3,0.00004093078750968936
turtle,0,4,0.00009355608573643282
turtle,0,5,0.0000448289577487074
turtle,1,0,0.001332338899550093
turtle,1,1,0.0005383187472929665
turtle,1,2,0.00008492442306432149
turtle,1,3,0.0000868735081838305
turtle,1,4,0.0001971360378017692
turtle,1,5,0.00009466984866186656
turtle,2,0,0.0006278838492132621
turtle,2,1,0.00025175682793658133
turtle,2,2,0.00003898170239018035
turtle,2,3,0.00003995624494993487
turtle,2,4,0.00009160700061692381
turtle,2,5,0.00004385441518895291
turtle,3,0,0.0006546837696065114
turtle,3,1,0.0002639386099335126
turtle,3,2,0.00004141805878956663
turtle,3,3,0.000042392601349321145
turtle,3,4,0.00009647971341569639
turtle,3,5,0.000046290771588339186
turtle,4,0,0.002301730305774464
turtle,4,1,0.0009453062829618701
turtle,4,2,0.00015495226700096642
turtle,4,3,0.00015787589468023
turtle,4,4,0.0003508353215116215
turtle,4,5,0.00016957040539728407
turtle,5,0,0.011747823927675953
turtle,5,1,0.004868891063244084
turtle,5,2,0.0008146029278889149
turtle,5,3,0.0008282465237254781
turtle,5,4,0.0018202161974897129
turtle,5,5,0.0008828209070717303
