category,fast,cute,prob
man,0,0,0.053455144007381196
man,0,1,0.08041805312305388
man,0,2,0.10952075009725376
man,1,0,0.12417371588687984
man,1,1,0.17318539433240557
man,1,2,0.17089505429510696
man,2,0,0.06254232072635697
man,2,1,0.09101020078504175
man,2,2,0.10926365913458408
rabbit,0,0,0.00041430198646213816
rabbit,0,1,0.0006445452215615883
rabbit,0,2,0.0013503767736181534
rabbit,1,0,0.0034583314817994656
rabbit,1,1,0.005314504552975298
rabbit,1,2,0.010376248645544114
rabbit,2,0,0.0006941655751957215
rabbit,2,1,0.0010758867255961557
rabbit,2,2,0.0022073466491835184
