category,fast,agile,prob
man,0,0,0.007394983063553999
man,0,1,0.007394983063553999
man,0,2,0.027280272886891336
man,0,3,0.015618714229058027
man,0,4,0.01941183054182924
man,0,5,0.021097451681315868
man,1,0,0.011021368988950661
man,1,1,0.011021368988950661
man,1,2,0.04953546054239251
man,1,3,0.020381563897809287
man,1,4,0.037330443349671595
man,1,5,0.045277540533355275
man,2,0,0.008319355946498238
man,2,1,0.008319355946498238
man,2,2,0.03398761270825507
man,2,3,0.01649527472150517
man,2,4,0.024958067839494714
man,2,5,0.028873058873140973
man,3,0,0.014078910063304745
man,3,1,0.014078910063304745
man,3,2,0.0483864980002713
man,3,3,0.030894160013521393
man,3,4,0.03359739901470445
man,3,5,0.03463261298994748
man,4,0,0.02147807580958696
man,4,1,0.02147807580958696
man,4,2,0.07567722759398322
man,4,3,0.046523330949400005
man,4,4,0.053015503580626004
man,4,5,0.05573424735399157
man,5,0,0.011016706326237222
man,5,1,0.011016706326237222
man,5,2,0.031938173429596185
man,5,3,0.02610739410067954
man,5,4,0.020684737462604907
man,5,5,0.017867940635118144
cheetah,0,0,0.00006535969879403786
cheetah,0,1,0.00006535969879403786
cheetah,0,2,0.0002969653213499151
cheetah,0,3,0.0001249239563156983
cheetah,0,4,0.00023809604560685177
cheetah,0,5,0.000799695138185874
cheetah,1,0,0.00005781819508703352
cheetah,1,1,0.00005781819508703352
cheetah,1,2,0.00026679930652189767
cheetah,1,3,0.0001098409489016896
cheetah,1,4,0.0002154715344858388
cheetah,1,5,0.0007393631085298395
cheetah,2,0,0.00006069114888017805
cheetah,2,1,0.00006069114888017805
cheetah,2,2,0.0002782911216944758
cheetah,2,3,0.00011558685648797867
cheetah,2,4,0.0002240903958652724
cheetah,2,5,0.0007623467388749956
cheetah,3,0,0.00014077473586408197
cheetah,3,1,0.00014077473586408197
cheetah,3,2,0.0006341519958038554
cheetah,3,3,0.0002699585891834091
cheetah,3,4,0.0005063581060417223
cheetah,3,5,0.001679832982579799
cheetah,4,0,0.00020514157562666498
cheetah,4,1,0.00020514157562666498
cheetah,4,2,0.0009271458810279509
cheetah,4,3,0.00039289682743619774
cheetah,4,4,0.0007414755745542093
cheetah,4,5,0.002471585248514033
cheetah,5,0,0.0011255797308710952
cheetah,5,1,0.0011255797308710952
cheetah,5,2,0.004893110711395781
cheetah,5,3,0.00218740960774604
cheetah,5,4,0.00383892563408541
cheetah,5,5,0.012049630873138054
