category,fast,small,prob
man,0,0,0.012713526681180564
man,0,1,0.014302717516328138
man,0,2,0.021189211135300937
man,0,3,0.02781083961508245
man,0,4,0.015437853827147829
man,0,5,0.01711436284005076
man,1,0,0.03001804910834297
man,1,1,0.03310814239890771
man,1,2,0.04855860885173128
man,1,3,0.06334691245657666
man,1,4,0.03682886697326112
man,1,5,0.04102013950551843
man,2,0,0.022248671692065933
man,2,1,0.026221648779934888
man,2,2,0.0397297708786892
man,2,3,0.05284059526865661
man,2,4,0.026335162411016817
man,2,5,0.028849925930371202
man,3,0,0.01716326101959372
man,3,1,0.018593532771226554
man,3,2,0.02701624419750866
man,3,3,0.03504165791500386
man,3,4,0.0212497517385446
man,3,5,0.02376451525789899
man,4,0,0.02497299883803322
man,4,1,0.025540566993443082
man,4,2,0.0359459831759569
man,4,3,0.04568923651049255
man,4,4,0.03178381670295137
man,4,5,0.03597508923520869
man,5,0,0.007945954175737837
man,5,1,0.00953514501088541
man,5,2,0.014567582655519369
man,5,3,0.019467587730557682
man,5,4,0.009308117748721468
man,5,5,0.01014637225517293
bird,0,0,0.0002568389228521325
bird,0,1,0.00011236702874780796
bird,0,2,0.00010701621785505522
bird,0,3,0.00010434081240867884
bird,0,4,0.0007108934471800102
bird,0,5,0.0016571049734017402
bird,1,0,0.0004994090166569245
bird,1,1,0.00021759964297194553
bird,1,2,0.00020689802118644004
bird,1,3,0.0002015472102936873
bird,1,4,0.0013861148217416662
bird,1,5,0.0032357313870431063
bird,2,0,0.0008347264992694319
bird,2,1,0.0003692059515999403
bird,2,2,0.0003531535189216821
bird,2,3,0.00034512730258255296
bird,2,4,0.0022932046683226126
bird,2,5,0.005324468439126905
bird,3,0,0.00024399697670952593
bird,3,1,0.00010594605567650466
bird,3,2,0.00010059524478375194
bird,3,3,0.00009791983933737554
bird,3,4,0.0006787885818234936
bird,3,5,0.001586474269617404
bird,4,0,0.0002293204668322612
bird,4,1,0.00009860780073787228
bird,4,2,0.00009325698984511956
bird,4,3,0.00009058158439874318
bird,4,4,0.0006420973071303317
bird,4,5,0.0015057534652924479
bird,5,0,0.00043341568231297173
bird,5,1,0.00019262919213909884
bird,5,2,0.00018460297579996974
bird,5,3,0.00018058986763040517
bird,5,4,0.0011867334158569473
bird,5,5,0.0027505225992938646
