category,industrious,agile,quiet,fast,sleek,small,prob
ant,0,0,0,0,0,0,0.00000163088052719342
ant,0,0,0,0,0,1,7.893900426200381e-7
ant,0,0,0,0,0,2,0.000016895801093063616
ant,0,0,0,0,1,0,0.00000163088052719342
ant,0,0,0,0,1,1,7.893900426200381e-7
ant,0,0,0,0,1,2,0.000016895801093063616
ant,0,0,0,0,2,0,0.00000163088052719342
ant,0,0,0,0,2,1,7.893900426200381e-7
ant,0,0,0,0,2,2,0.000016895801093063616
ant,0,0,0,1,0,0,8.274847621190033e-7
ant,0,0,0,1,0,1,4.0426957343162114e-7
ant,0,0,0,1,0,2,0.000007902207402842693
ant,0,0,0,1,1,0,8.274847621190033e-7
ant,0,0,0,1,1,1,4.0426957343162114e-7
ant,0,0,0,1,1,2,0.000007902207402842693
ant,0,0,0,1,2,0,8.274847621190033e-7
ant,0,0,0,1,2,1,4.0426957343162114e-7
ant,0,0,0,1,2,2,0.000007902207402842693
ant,0,0,0,2,0,0,1.409885843433681e-7
ant,0,0,0,2,0,1,6.812609026471387e-8
ant,0,0,0,2,0,2,0.0000014814323043127997
ant,0,0,0,2,1,0,1.409885843433681e-7
ant,0,0,0,2,1,1,6.812609026471387e-8
ant,0,0,0,2,1,2,0.0000014814323043127997
ant,0,0,0,2,2,0,1.409885843433681e-7
ant,0,0,0,2,2,1,6.812609026471387e-8
ant,0,0,0,2,2,2,0.0000014814323043127997
ant,0,0,1,0,0,0,0.00000163088052719342
ant,0,0,1,0,0,1,7.893900426200381e-7
ant,0,0,1,0,0,2,0.000016895801093063616
ant,0,0,1,0,1,0,0.00000163088052719342
ant,0,0,1,0,1,1,7.893900426200381e-7
ant,0,0,1,0,1,2,0.000016895801093063616
ant,0,0,1,0,2,0,0.00000163088052719342
ant,0,0,1,0,2,1,7.893900426200381e-7
ant,0,0,1,0,2,2,0.000016895801093063616
ant,0,0,1,1,0,0,8.274847621190033e-7
ant,0,0,1,1,0,1,4.0426957343162114e-7
ant,0,0,1,1,0,2,0.000007902207402842693
ant,0,0,1,1,1,0,8.274847621190033e-7
ant,0,0,1,1,1,1,4.0426957343162114e-7
ant,0,0,1,1,1,2,0.000007902207402842693
ant,0,0,1,1,2,0,8.274847621190033e-7
ant,0,0,1,1,2,1,4.0426957343162114e-7
ant,0,0,1,1,2,2,0.000007902207402842693
ant,0,0,1,2,0,0,1.409885843433681e-7
ant,0,0,1,2,0,1,6.812609026471387e-8
ant,0,0,1,2,0,2,0.0000014814323043127997
ant,0,0,1,2,1,0,1.409885843433681e-7
ant,0,0,1,2,1,1,6.812609026471387e-8
ant,0,0,1,2,1,2,0.0000014814323043127997
ant,0,0,1,2,2,0,1.409885843433681e-7
ant,0,0,1,2,2,1,6.812609026471387e-8
ant,0,0,1,2,2,2,0.0000014814323043127997
ant,0,0,2,0,0,0,0.00000163088052719342
ant,0,0,2,0,0,1,7.893900426200381e-7
ant,0,0,2,0,0,2,0.000016895801093063616
ant,0,0,2,0,1,0,0.00000163088052719342
ant,0,0,2,0,1,1,7.893900426200381e-7
ant,0,0,2,0,1,2,0.000016895801093063616
ant,0,0,2,0,2,0,0.00000163088052719342
ant,0,0,2,0,2,1,7.893900426200381e-7
ant,0,0,2,0,2,2,0.000016895801093063616
ant,0,0,2,1,0,0,8.274847621190033e-7
ant,0,0,2,1,0,1,4.0426957343162114e-7
ant,0,0,2,1,0,2,0.000007902207402842693
ant,0,0,2,1,1,0,8.274847621190033e-7
ant,0,0,2,1,1,1,4.0426957343162114e-7
ant,0,0,2,1,1,2,0.000007902207402842693
ant,0,0,2,1,2,0,8.274847621190033e-7
