category,small,industrious,prob
man,0,0,0.005665740201215815
man,0,1,0.007932036281702144
man,0,2,0.01937683148815808
man,0,3,0.016997220603647438
man,0,4,0.025150358941982386
man,0,5,0.06069140903542377
man,1,0,0.005099166181094238
man,1,1,0.008498610301823735
man,1,2,0.01886691487004867
man,1,3,0.015297498543282703
man,1,4,0.02412776193005567
man,1,5,0.04684433998365241
man,2,0,0.007626957963175136
man,2,1,0.01329269816439096
man,2,2,0.028829901100802007
man,2,3,0.022880873889525397
man,2,4,0.03672632719549837
man,2,5,0.06674241957032229
man,3,0,0.010311647166212775
man,3,1,0.01824368344791492
man,3,2,0.03926357959442559
man,3,3,0.030934941498638336
man,3,4,0.0499524821447681
man,3,5,0.08868016562942987
man,4,0,0.00396601814085107
man,4,1,0.0062323142213374
man,4,2,0.014277665307063848
man,4,3,0.011898054422553206
man,4,4,0.018351470700523412
man,4,5,0.0385950222506821
man,5,0,0.008399645407479341
man,5,1,0.01066594148796567
man,5,2,0.02757854710694865
man,5,3,0.02519893622243801
man,5,4,0.03608597976703648
man,5,5,0.09623217671684958
ant,0,0,0.00011445939800435992
ant,0,1,0.00041205383281569543
ant,0,2,0.0004898862234586606
ant,0,3,0.00034337819401307956
ant,0,4,0.0006037035321571431
ant,0,5,0.0009394827388197869
ant,1,0,0.00004578375920174396
ant,1,1,0.00017168909700654002
ant,1,2,0.00019915935252758627
ant,1,3,0.00013735127760523204
ant,1,4,0.0002446220670763915
ant,1,5,0.0003667279112059693
ant,2,0,0.000044022845386292274
ant,2,1,0.00016640635556018497
ant,2,2,0.00019211569726577954
ant,2,3,0.00013206853615887698
ant,2,4,0.00023581749799913304
ant,2,5,0.0003508796868669042
ant,3,0,0.00004349457124165677
ant,3,1,0.00016482153312627845
ant,3,2,0.00019000260068723751
ant,3,3,0.00013048371372497046
ant,3,4,0.00023317612727595549
ant,3,5,0.0003461252195651846
ant,4,0,0.000048645244151852957
ant,4,1,0.00018027355185686706
ant,4,2,0.0002106052923280223
ant,4,3,0.00014593573245555907
ant,4,4,0.0002589294918269365
ant,4,5,0.0003924812757569505
ant,5,0,0.0010655595158102396
ant,5,1,0.0037117458384503363
ant,5,2,0.0045026027990501104
ant,5,3,0.003196678547430717
ant,5,4,0.005563346645066265
ant,5,5,0.008910146818146255
