category,small,industrious,prob
ant,0,0,0.00004185112011522928
ant,0,1,0.0001367334217779372
ant,0,2,0.0001863398970073251
ant,0,3,0.00012877417882470495
ant,0,4,0.0002507858290942056
ant,0,5,0.00043357450881495316
ant,1,0,0.000016616119948160418
ant,1,1,0.00005543839056060604
ant,1,2,0.00007593218806584567
ant,1,3,0.0000514587690839899
ant,1,4,0.00010384571399983166
ant,1,5,0.00017800229342238854
ant,2,0,0.000015647809777225124
ant,2,1,0.00005253346004780016
ant,2,2,0.00007205894738210451
ant,2,3,0.00004855383857118402
ant,2,4,0.00009900416314515521
ant,2,5,0.00016928750188397094
ant,3,0,0.000015605855750111713
ant,3,1,0.000052407597966459925
ant,3,2,0.00007189113127365086
ant,3,3,0.00004842797648984379
ant,3,4,0.00009879439300958815
ant,3,5,0.00016890991563995025
ant,4,0,0.000015660335182421304
ant,4,1,0.0000525710362633887
ant,4,2,0.00007210904900288921
ant,4,3,0.00004859141478677256
ant,4,4,0.00009906679017113609
ant,4,5,0.00016940023053073653
ant,5,0,0.00034959705356237057
ant,5,1,0.001132641621428984
ant,5,2,0.0015404038383475425
ant,5,3,0.001072947299279742
ant,5,4,0.0020594619816972936
ant,5,5,0.003573231690395508
beaver,0,0,0.0000117901476444023
beaver,0,1,0.000023275252182728167
beaver,0,2,0.000024786002671506438
beaver,0,3,0.00003215938451018676
beaver,0,4,0.000030144290022021137
beaver,0,5,0.00008151287828875513
beaver,1,0,0.0000031712674254938405
beaver,1,1,0.000010346931854365488
beaver,1,2,0.00001185768234314376
beaver,1,3,0.000010612183962915592
beaver,1,4,0.000017215969693658453
beaver,1,5,0.00004272791730366705
beaver,2,0,0.0000024692941672465064
beaver,2,1,0.000014884002683119203
beaver,2,2,0.000017905503660675736
beaver,2,3,0.00001154126621647823
beaver,2,4,0.000028622078361705113
beaver,2,5,0.0000680262515304987
beaver,3,0,0.000004602956117585713
beaver,3,1,0.00002926455704087742
beaver,3,2,0.00003530755899599048
beaver,3,3,0.000022243451890688196
beaver,3,4,0.00005674070839804918
beaver,3,5,0.00013454215808491438
beaver,4,0,0.000007558187364093656
beaver,4,1,0.000044877465342888935
beaver,4,2,0.00005394196827555848
beaver,4,3,0.00003499956080532006
beaver,4,4,0.00008609169237864677
beaver,4,5,0.0002047551264720899
beaver,5,0,0.00011586377602909011
beaver,5,1,0.00021292587905650813
beaver,5,2,0.00022350113247795601
beaver,5,3,0.0003084475478669924
beaver,5,4,0.0002610091439315588
beaver,5,5,0.0007205874893535188
mouse,0,0,0.000029475369111005776
mouse,0,1,0.00004655050436545635
mouse,0,2,0.00003304800356200859
mouse,0,3,0.000025727507608149388
mouse,0,4,0.000040192386696028216
mouse,0,5,0.000018113972953056688
mouse,1,0,0.000007928168563734608
mouse,1,1,0.00002069386370873098
mouse,1,2,0.00001581024312419167
mouse,1,3,0.000008489747170332467
mouse,1,4,0.00002295462625821129
mouse,1,5,0.000009495092734148227
mouse,2,0,0.000003086617709058141
mouse,2,1,0.000014884002683119226
mouse,2,2,0.0000119370024404505
mouse,2,3,0.000004616506486591296
mouse,2,4,0.000019081385574470117
mouse,2,5,0.0000075584723922776425
mouse,3,0,0.000002876847573491083
mouse,3,1,0.000014632278520438758
mouse,3,2,0.000011769186331996853
mouse,3,3,0.000004448690378137649
mouse,3,4,0.00001891356946601647
mouse,3,5,0.000007474564338050819
mouse,4,0,0.000015746223675195127
mouse,4,1,0.0000747957755714814
mouse,4,2,0.000059935520306176014
mouse,4,3,0.000023333040536880007
mouse,4,4,0.00009565743597627407
mouse,4,5,0.00003791761601334995
mouse,5,0,0.0004965590401246721
mouse,5,1,0.0007300315853366003
mouse,5,2,0.0005108597313781861
mouse,5,3,0.0004230137799318754
mouse,5,4,0.0005965923289864213
mouse,5,5,0.0002745095197537211
monkey,0,0,0.00001179014764440228
monkey,0,1,0.00001551683478848543
monkey,0,2,0.0000495720053430128
monkey,0,3,0.00005788689211833604
monkey,0,4,0.00004019238669602814
monkey,0,5,0.000018113972953056654
monkey,1,0,0.0000031712674254938362
monkey,1,1,0.000006897954569576985
monkey,1,2,0.000023715364686287478
monkey,1,3,0.000019101931133248026
monkey,1,4,0.000022954626258211248
monkey,1,5,0.000009495092734148212
monkey,2,0,0.000008642529585362772
monkey,2,1,0.000034729339593944835
monkey,2,2,0.00012533852562472998
monkey,2,3,0.00007270997716381269
monkey,2,4,0.0001335696990212904
monkey,2,5,0.00005290930674594341
monkey,3,0,0.000006904434176378589
monkey,3,1,0.00002926455704087752
monkey,3,2,0.00010592267698797156
monkey,3,3,0.00006005732010485827
monkey,3,4,0.00011348141679609877
monkey,3,5,0.000044847386028304895
monkey,4,0,0.000003779093682046827
monkey,4,1,0.000014959155114296292
monkey,4,2,0.00005394196827555847
monkey,4,3,0.00003149960472478804
monkey,4,4,0.000057394461585764456
monkey,4,5,0.000022750569608009977
monkey,5,0,0.000049655904012467245
monkey,5,1,0.00006083596544471671
monkey,5,2,0.00019157239926681965
monkey,5,3,0.00023794525121168005
monkey,5,4,0.0001491480822466053
monkey,5,5,0.0000686273799384304
man,0,0,0.004668898467183304
man,0,1,0.006144666576240233
man,0,2,0.019630514115833064
man,0,3,0.015282139519240701
man,0,4,0.031832370263254264
man,0,5,0.09325073276233563
man,1,0,0.0018837328507433392
man,1,1,0.0040973850143287355
man,1,2,0.014086926623654768
man,1,3,0.007564364728766215
man,1,4,0.02727009599475499
man,1,5,0.0733211060930926
man,2,0,0.0012223006127870207
man,2,1,0.004911720885429341
man,2,2,0.017726448624068965
man,2,3,0.006855512132588057
man,2,4,0.03778114343745074
man,2,5,0.09727753968861305
man,3,0,0.0015949242947434505
man,3,1,0.006760112676442694
man,3,2,0.024468138384221422
man,3,3,0.009248827296148152
man,3,4,0.052428414559797534
man,3,5,0.13467670024299938
man,4,0,0.0004988403660301808
man,4,1,0.00197460847508711
man,4,2,0.007120339812373705
man,4,3,0.002771965215781343
man,4,4,0.015152137858641786
man,4,5,0.03903997744734505
man,5,0,0.006554579329645668
man,5,1,0.008030347438702597
man,5,2,0.02528755670322016
man,5,3,0.020939182106627797
man,5,4,0.03937509371310372
man,5,5,0.11776458397434637
