category,big,majestic,prob
eagle,0,0,0.00008030213093320782
eagle,0,1,0.0006490228902834144
eagle,0,2,0.00046613331211555246
eagle,1,0,0.00004018743361407238
eagle,1,1,0.0002974498131912556
eagle,1,2,0.00021916395465693312
eagle,2,0,0.00006465635749452536
eagle,2,1,0.00018358145147982812
eagle,2,2,0.00020041631957358613
whale,0,0,0.00009751886333197195
whale,0,1,0.0004046295475678104
whale,0,2,0.00041807481958274086
whale,1,0,0.00019653692587852945
whale,1,1,0.00081450629238667
whale,1,2,0.0008421464360238255
whale,2,0,0.0014814227523326303
whale,2,1,0.005881428418129205
whale,2,2,0.006233684038133922
horse,0,0,0.000005948305995052421
horse,0,1,0.00008413259688859091
horse,0,2,0.00005179259023506144
horse,1,0,0.00006697905602345372
horse,1,1,0.000867561955141162
horse,1,2,0.0005479098866423323
horse,2,0,0.00012931271498905006
horse,2,1,0.0006425350801793985
horse,2,2,0.000601248958720758
lion,0,0,0.000023793223980209695
lion,0,1,0.00014422730895187006
lion,0,2,0.0003107555414103685
lion,1,0,0.00004018743361407224
lion,1,1,0.00022308735989344153
lion,1,2,0.0004931188979780989
lion,2,0,0.00017241695331873382
lion,2,1,0.00036716290295965695
lion,2,2,0.001202497917441516
elephant,0,0,0.000002974152997526216
elephant,0,1,0.00006009471206327917
elephant,0,2,0.00007121481157320935
elephant,1,0,0.000003348952801172696
elephant,1,1,0.00006196871108151156
elephant,1,2,0.0000753376094133206
elephant,2,0,0.00025862542997810153
elephant,2,1,0.0018358145147982865
elephant,2,2,0.0033068692729641635
man,0,0,0.04122176054571337
man,0,1,0.11898752988529276
man,0,2,0.06409333041588848
man,1,0,0.10443709310457035
man,1,1,0.2760706078681339
man,1,2,0.1525586590619742
man,2,0,0.0746780929061766
man,2,1,0.0757273487354291
man,2,2,0.06200379886807803
