category,funny,cute,prob
man,0,0,0.0399430789960891
man,0,1,0.06314160310167286
man,0,2,0.06987098247143216
man,1,0,0.05724003304815922
man,1,1,0.10597253738487439
man,1,2,0.14702374347418873
man,2,0,0.09412855320230688
man,2,1,0.169983477584069
man,2,2,0.22880411884135116
penguin,0,0,0.0008069308888098847
penguin,0,1,0.001763621844895841
penguin,0,2,0.00406718746176006
penguin,1,0,0.0007452410355068484
penguin,1,1,0.0016776821551087865
penguin,1,2,0.004118101550346551
penguin,2,0,0.001229505762894315
penguin,2,1,0.0027585316603407706
penguin,2,2,0.006725069536193458
