category,fast,agile,prob
man,0,0,0.009510899206284257
man,0,1,0.009510899206284257
man,0,2,0.02774012268499573
man,0,3,0.022078873157445576
man,0,4,0.017832936011782926
man,0,5,0.01616852865068325
man,1,0,0.017832936011782954
man,1,1,0.017832936011782954
man,1,2,0.05448952670267015
man,1,3,0.04033640288379478
man,1,4,0.03566587202356582
man,1,5,0.034477009622780413
man,2,0,0.012483055208248056
man,2,1,0.012483055208248056
man,2,2,0.03715195002454776
man,2,3,0.028660075733222563
man,2,4,0.02407446361590692
man,2,5,0.022469499374846515
man,3,0,0.015692983690369
man,3,1,0.015692983690369
man,3,2,0.04517677122985009
man,3,3,0.03668489693852489
man,3,4,0.02888935633908832
man,3,5,0.025679427856967453
man,4,0,0.025263326016692518
man,4,1,0.025263326016692518
man,4,2,0.07306550171494403
man,4,3,0.058912377896068666
man,4,4,0.04681145703093013
man,4,5,0.041907399627689974
man,5,0,0.008916468005891486
man,5,1,0.008916468005891486
man,5,2,0.024272607349371228
man,5,3,0.021441982585596153
man,5,4,0.015157995610015471
man,5,5,0.012245282728090976
cheetah,0,0,0.000060043555595228774
cheetah,0,1,0.000060043555595228774
cheetah,0,2,0.0002561858372063101
cheetah,0,3,0.00011665605087073048
cheetah,0,4,0.00019814373346425455
cheetah,0,5,0.0006148460092951418
cheetah,1,0,0.000054039200035705904
cheetah,1,1,0.000054039200035705904
cheetah,1,2,0.00023216841496821858
cheetah,1,3,0.0001046473397516847
cheetah,1,4,0.00018013066678568596
cheetah,1,5,0.0005668111648189588
cheetah,2,0,0.000057041377815467346
cheetah,2,1,0.000057041377815467346
cheetah,2,2,0.00024417712608726437
cheetah,2,3,0.00011065169531120763
cheetah,2,4,0.00018913720012497028
cheetah,2,5,0.0005908285870570504
cheetah,3,0,0.00012489059563807614
cheetah,3,1,0.00012489059563807614
cheetah,3,2,0.0005315856122030946
cheetah,3,3,0.00024291907063669815
cheetah,3,4,0.0004106979202713649
cheetah,3,5,0.0012681198941712326
cheetah,4,0,0.00018463393345532838
cheetah,4,1,0.00018463393345532838
cheetah,4,2,0.0007865705782974985
cheetah,4,3,0.00035897468595147555
cheetah,4,4,0.0006079410004016897
cheetah,4,5,0.0018805641612425616
cheetah,5,0,0.0008916468005891479
cheetah,5,1,0.0008916468005891479
cheetah,5,2,0.003742714965435934
cheetah,5,3,0.0017455519376612988
cheetah,5,4,0.0028730841352316975
cheetah,5,5,0.008612647614579614
