category,funny,cute,prob
monkey,0,0,0.00005382829910428747
monkey,0,1,0.0001838752119554545
monkey,0,2,0.00013131378059640935
monkey,1,0,0.0000638777234502936
monkey,1,1,0.00024545631256213347
monkey,1,2,0.000176733000647249
monkey,2,0,0.0001318313706065914
monkey,2,1,0.000389518945835404
monkey,2,2,0.0002749573326526226
dog,0,0,0.000010765659820857446
dog,0,1,0.00004086115821232305
dog,0,2,0.00015319941069581047
dog,1,0,0.000029809604276803724
dog,1,1,0.00012727364355073634
dog,1,2,0.0004811065017619554
dog,2,0,0.00006026576942015612
dog,2,1,0.00019785089312274518
dog,2,2,0.0007332195537403274
cat,0,0,0.000010765659820857482
cat,0,1,0.0001225834746369694
cat,0,2,0.0002845131912922203
cat,1,0,0.000012775544690058732
cat,1,1,0.0001636375417080891
cat,1,2,0.0003829215014023728
cat,2,0,0.0000263662741213183
cat,2,1,0.00025967929722360284
cat,2,2,0.0005957408874140156
hyena,0,0,0.00026375866561100794
hyena,0,1,0.00014301405374313118
hyena,0,2,0.00007659970534790549
hyena,1,0,0.00017885762566082224
hyena,1,1,0.00010909169447205947
hyena,1,2,0.00005891100021574973
hyena,2,0,0.00021093019297054643
hyena,2,1,0.00009892544656137251
hyena,2,2,0.000052372825267166236
kitten,0,0,0.000008074244865643107
kitten,0,1,0.00006129173731848476
kitten,0,2,0.00024621333861826717
kitten,1,0,0.000010646287241715642
kitten,1,1,0.00009090974539338319
kitten,1,2,0.00036819375134843654
kitten,2,0,0.00003389949529883777
kitten,2,1,0.00022258225476308785
kitten,2,2,0.0008837914263834293
penguin,0,0,0.00030284771521736756
penguin,0,1,0.0006636849461465598
penguin,0,2,0.0012327612955276668
penguin,1,0,0.000370127281418641
penguin,1,1,0.000812741457477063
penguin,1,2,0.001510032956531666
penguin,2,0,0.0006315001256398244
penguin,2,1,0.001378979282703298
penguin,2,2,0.002560139806807323
man,0,0,0.01918440580072959
man,0,1,0.04854305595614267
man,0,2,0.039000192837055435
man,1,0,0.04553204127527827
man,1,1,0.1296009330325476
man,1,2,0.10497940238425599
man,2,0,0.12081780124481613
man,2,1,0.2644277186580195
man,2,2,0.20998884290828274
