category,big,majestic,prob
man,0,0,0.024322784325694707
man,0,1,0.01375172806106586
man,0,2,0.020955014188290832
man,0,3,0.017025949027986292
man,0,4,0.01964532580152265
man,0,5,0.02357439096182717
man,1,0,0.03157284503816146
man,1,1,0.01768079322137043
man,1,2,0.027503456122131772
man,1,3,0.02357439096182723
man,1,4,0.026521189832055633
man,1,5,0.032414787572512434
man,2,0,0.0763361231144881
man,2,1,0.042433903731289
man,2,2,0.06705604540253077
man,2,3,0.059721790436629035
man,2,4,0.06600829469311624
man,2,5,0.0817245553343344
man,3,0,0.024322784325694707
man,3,1,0.01375172806106586
man,3,2,0.020955014188290832
man,3,3,0.017025949027986292
man,3,4,0.01964532580152265
man,3,5,0.02357439096182717
man,4,0,0.015435613129767822
man,4,1,0.008840396610685208
man,4,2,0.013096883867681788
man,4,3,0.009822662900761342
man,4,4,0.011787195480913611
man,4,5,0.01375172806106588
man,5,0,0.02362116554706895
man,5,1,0.013751728061065886
man,5,2,0.01964532580152268
man,5,3,0.013096883867681788
man,5,4,0.01669852693129429
man,5,5,0.018663059511446558
whale,0,0,0.00012851199177523287
whale,0,1,0.00006283858421362489
whale,0,2,0.00013229175623921032
whale,0,3,0.0004960940858970382
whale,0,4,0.00021828139779469683
whale,0,5,0.00047625032246115685
whale,1,0,0.00012189740396327229
whale,1,1,0.0000595312903076446
whale,1,2,0.00012567716842724975
whale,1,3,0.0004762503224611564
whale,1,4,0.00020835951607675598
whale,1,5,0.00045640655902527515
whale,2,0,0.00023585730255219105
whale,2,1,0.00011509382792811245
whale,2,2,0.00024341683148014593
whale,2,3,0.0009286881287992516
whale,2,4,0.00040481277409198154
whale,2,5,0.0008890006019274892
whale,3,0,0.00012851199177523287
whale,3,1,0.00006283858421362489
whale,3,2,0.00013229175623921032
whale,3,3,0.0004960940858970382
whale,3,4,0.00021828139779469683
whale,3,5,0.00047625032246115685
whale,4,0,0.0001417411673991538
whale,4,1,0.00006945317202558537
whale,4,2,0.00014552093186313129
whale,4,3,0.000535781612768801
whale,4,4,0.00023812516123057823
whale,4,5,0.0005159378493329198
whale,5,0,0.001922955171048521
whale,5,1,0.0009458860571103534
whale,5,2,0.0019645325801522727
whale,5,3,0.006985004729430299
whale,5,4,0.0031650802680231035
whale,5,5,0.0067667233316356015
